i;Links;Weights;BCW;CCW;Stat_Weights;p-value_Weights;Stat_BC;p-value_BC;Stat_CC;p-value_CC;Stat_DC;p-value_DC;Stat_BCW;p-value_BCW;Stat_CCW;p-value_CCW;BC;CC;DC;AD_Weights;p-value_Weights;AD_BC;p-value_BC;AD_CC;p-value_CC;AD_DC;p-value_DC;AD_BCW;p-value_BCW;AD_CCW;p-value_CCW
0;107;1708.0;0.07350427350427349;0.3680708559657124;0.04672897196261682;0.9998407835872806;0.14814814814814814;0.9356622290518453;0.48148148148148145;0.00333382007458774;0.0;1.0;0.6296296296296297;2.4582904691073025e-05;1.0;1.027253325734171e-15;0.06632478632478633;0.3938123783993885;0.30484330484330485;-0.5379050818261398;0.25;-0.024296578737875704;0.25;2.8172302515609293;0.02296595745539519;-1.3590421491677027;0.25;14.395061525423898;0.001;32.60233511816625;0.001
1;107;1369.0;0.08091168091168092;0.08442823793229458;0.018691588785046728;0.9999999999999998;0.1111111111111111;0.9973888598742788;0.5185185185185185;0.0011383775864635356;0.0;1.0;0.5555555555555556;0.00035235496723871337;1.0;1.027253325734171e-15;0.0798860398860399;0.35489106266543735;0.30484330484330485;-1.2123790479412575;0.25;-0.9076962439162897;0.25;4.231641057298961;0.006615407907888145;-1.3590421491677027;0.25;11.24811232942126;0.001;33.12112092674644;0.001
2;107;781.0;0.06575498575498576;0.39524167930224;0.018691588785046728;0.9999999999999998;0.14814814814814814;0.9356622290518453;0.1111111111111111;0.9973888598742788;0.0;1.0;0.5925925925925926;9.83316187642921e-05;1.0;1.027253325734171e-15;0.06347578347578348;0.40309332875950393;0.30484330484330485;-1.2165211983793343;0.25;-0.06792511481242058;0.25;-1.188642114771218;0.25;-1.3590421491677027;0.25;12.841732168142187;0.001;32.56617263543519;0.001
3;107;1043.0;0.07737891737891738;0.14482367918576422;0.028037383177570093;0.999999999999476;0.037037037037037035;1.0;0.48148148148148145;0.00333382007458774;0.0;1.0;0.5185185185185185;0.0011383775864635356;1.0;1.027253325734171e-15;0.07042735042735042;0.3817935775691242;0.30484330484330485;-0.9803953215170116;0.25;-1.2248245585117987;0.25;3.3311079774620334;0.014489215390881409;-1.3590421491677027;0.25;9.804803451915316;0.001;32.71353006676531;0.001
4;107;818.0;0.07213675213675214;0.3729261968903027;0.028037383177570093;0.999999999999476;0.07407407407407407;0.9999999310621962;0.48148148148148145;0.00333382007458774;0.0;1.0;0.5555555555555556;0.00035235496723871337;1.0;1.027253325734171e-15;0.06997150997150997;0.3807182334506502;0.30484330484330485;-0.8965961757403392;0.25;-0.9642417644448343;0.25;4.528742006101221;0.005140862676776789;-1.3590421491677027;0.25;11.292820126317823;0.001;32.52202051901877;0.001
5;107;1167.0;0.10358974358974359;0.1421215612386174;0.028037383177570093;0.999999999999476;0.14814814814814814;0.9356622290518453;0.5925925925925926;9.83316187642921e-05;0.0;1.0;0.5555555555555556;0.00035235496723871337;1.0;1.027253325734171e-15;0.09846153846153846;0.3104647050110974;0.30484330484330485;-0.6901371834441633;0.25;-0.7824272338858359;0.25;11.184807383913427;0.001;-1.3590421491677027;0.25;11.431283808373436;0.001;32.56617263543519;0.001
6;107;870.0;0.07908831908831909;0.35263376359184656;0.009345794392523364;0.9999999999999997;0.1111111111111111;0.9973888598742788;0.5185185185185185;0.0011383775864635356;0.0;1.0;0.5925925925925926;9.83316187642921e-05;1.0;1.027253325734171e-15;0.0766951566951567;0.36043842545442595;0.30484330484330485;-1.305822998940991;0.25;-0.5745170932866075;0.25;3.7922067642416257;0.009662816268301547;-1.3590421491677027;0.25;12.66843096793414;0.001;33.22181385897812;0.001
7;107;906.0;0.10153846153846154;0.29903747363712313;0.018691588785046728;0.9999999999999998;0.1111111111111111;0.9973888598742788;0.5555555555555556;0.00035235496723871337;0.0;1.0;0.48148148148148145;0.00333382007458774;1.0;1.027253325734171e-15;0.08136752136752137;0.3441154765874583;0.30484330484330485;-1.2318233680922803;0.25;-0.5484248197719944;0.25;6.015855596463895;0.0015268977432558299;-1.3590421491677027;0.25;8.662423593782622;0.001;33.684680671048994;0.001
8;107;1183.0;0.09982905982905982;0.02477248832717713;0.018691588785046728;0.9999999999999998;0.14814814814814814;0.9356622290518453;0.5185185185185185;0.0011383775864635356;0.0;1.0;0.6296296296296297;2.4582904691073025e-05;1.0;1.027253325734171e-15;0.07236467236467235;0.37251910906715935;0.30484330484330485;-1.234264799297831;0.25;-0.06792511481242058;0.25;3.6241936273304334;0.011189822590775042;-1.3590421491677027;0.25;14.421081227803944;0.001;32.56617263543519;0.001
9;107;1152.0;0.10780626780626783;0.13945697278187327;0.018691588785046728;0.9999999999999998;0.1111111111111111;0.9973888598742788;0.5555555555555556;0.00035235496723871337;0.0;1.0;0.48148148148148145;0.00333382007458774;1.0;1.027253325734171e-15;0.07532763532763534;0.3648376215583222;0.30484330484330485;-1.0208210423626702;0.25;-0.957615958117858;0.25;5.705671207715906;0.001953863972757341;-1.3590421491677027;0.25;8.841196420820445;0.001;33.16318634025413;0.001
10;107;450.0;0.07202279202279203;0.37634487956441554;0.037383177570093455;0.9999995978128337;0.14814814814814814;0.9356622290518453;0.4444444444444444;0.00889018684023524;0.0;1.0;0.6296296296296297;2.4582904691073025e-05;1.0;1.027253325734171e-15;0.07008547008547009;0.3833441268209452;0.30484330484330485;0.5368886980679939;0.19912348159183543;-0.0644213900302235;0.25;3.415523400525118;0.013445694035000736;-1.3590421491677027;0.25;14.29577408080257;0.001;32.56772992619267;0.001
11;107;1463.0;0.11498575498575499;0.029979209307663002;0.06542056074766354;0.977100706805525;0.14814814814814814;0.9356622290518453;0.5925925925925926;9.83316187642921e-05;0.0;1.0;0.5185185185185185;0.0011383775864635356;1.0;1.027253325734171e-15;0.09766381766381767;0.307834450145117;0.30484330484330485;0.9472830107565603;0.13311841556429657;-0.7334612786374499;0.25;10.94815744688217;0.001;-1.3590421491677027;0.25;10.01256690799077;0.001;33.04220278066556;0.001
12;107;791.0;0.07179487179487179;0.37901851405941156;0.028037383177570093;0.999999999999476;0.5185185185185185;0.0011383775864635356;0.48148148148148145;0.00333382007458774;0.07407407407407407;0.9999999310621962;0.5925925925925926;9.83316187642921e-05;1.0;1.027253325734171e-15;0.07122507122507124;0.3816156114211837;0.30484330484330485;-0.3940643596440492;0.25;9.934478548576983;0.001;3.372566984540567;0.013966509552686914;-1.1711475917618688;0.25;12.72026088317379;0.001;32.18163520804831;0.001
13;107;1458.0;0.0652991452991453;0.3942356170176558;0.018691588785046728;0.9999999999999998;0.14814814814814814;0.9356622290518453;0.14814814814814814;0.9356622290518453;0.0;1.0;0.6296296296296297;2.4582904691073025e-05;1.0;1.027253325734171e-15;0.06267806267806268;0.405006690642287;0.30484330484330485;-0.9863478475458825;0.25;-0.06794931443463367;0.25;-1.101199052412594;0.25;-1.3590421491677027;0.25;14.282956624255332;0.001;32.6433364448556;0.001
14;107;1055.0;0.09572649572649572;0.03053087029887676;0.009345794392523364;0.9999999999999997;0.14814814814814814;0.9356622290518453;0.5555555555555556;0.00035235496723871337;0.0;1.0;0.5185185185185185;0.0011383775864635356;1.0;1.027253325734171e-15;0.09082621082621083;0.3314963022332388;0.30484330484330485;-1.2432756422867604;0.25;-1.061207207829908;0.25;7.138462563106519;0.001;-1.3590421491677027;0.25;9.89429455875456;0.001;32.598335193586635;0.001
15;107;1371.0;0.09606837606837608;0.3134136113417161;0.028037383177570093;0.999999999999476;0.1111111111111111;0.9973888598742788;0.5185185185185185;0.0011383775864635356;0.0;1.0;0.5555555555555556;0.00035235496723871337;1.0;1.027253325734171e-15;0.08649572649572648;0.33483144225001604;0.30484330484330485;-0.6804180158635056;0.25;-0.4998748403016064;0.25;6.771702425141184;0.001;-1.3590421491677027;0.25;11.28550075179208;0.001;33.039396341166494;0.001
16;107;1049.0;0.08205128205128205;0.12122153445769948;0.009345794392523364;0.9999999999999997;0.14814814814814814;0.9356622290518453;0.48148148148148145;0.00333382007458774;0.0;1.0;0.6296296296296297;2.4582904691073025e-05;1.0;1.027253325734171e-15;0.07168091168091167;0.37867767185690165;0.30484330484330485;-1.2431679452788111;0.25;-0.08399100599542571;0.25;4.087462203047079;0.00748528363054677;-1.3590421491677027;0.25;14.316527905167106;0.001;32.58243131955617;0.001
17;107;1326.0;0.08877492877492878;0.11823155750241625;0.037383177570093455;0.9999995978128337;0.1111111111111111;0.9973888598742788;0.5555555555555556;0.00035235496723871337;0.0;1.0;0.5555555555555556;0.00035235496723871337;1.0;1.027253325734171e-15;0.08478632478632478;0.3392283456119479;0.30484330484330485;-1.1820324888642812;0.25;-0.5396536356118994;0.25;6.704037082209554;0.001;-1.3590421491677027;0.25;11.23016489536241;0.001;32.613094162628606;0.001
18;107;1688.0;0.09481481481481481;0.14443424946368053;0.04672897196261682;0.9998407835872806;0.07407407407407407;0.9999999310621962;0.4444444444444444;0.00889018684023524;0.0;1.0;0.4444444444444444;0.00889018684023524;1.0;1.027253325734171e-15;0.06757834757834758;0.39005376963909305;0.30484330484330485;0.36305550327886427;0.23659302582458572;-1.2959832678567407;0.25;3.0322890633611226;0.01891732247015375;-1.3590421491677027;0.25;7.349391337589976;0.001;32.62765855245859;0.001
19;107;591.0;0.08353276353276352;0.3377848474883115;0.028037383177570093;0.999999999999476;0.1111111111111111;0.9973888598742788;0.5555555555555556;0.00035235496723871337;0.0;1.0;0.5925925925925926;9.83316187642921e-05;1.0;1.027253325734171e-15;0.08136752136752136;0.3441154765874583;0.30484330484330485;-0.8888236999103671;0.25;-0.5484248197719944;0.25;6.015855596463895;0.0015268977432558299;-1.3590421491677027;0.25;12.763847235316886;0.001;33.684680671048994;0.001
20;107;968.0;0.08376068376068375;0.34650257335568296;0.018691588785046728;0.9999999999999998;0.1111111111111111;0.9973888598742788;0.48148148148148145;0.00333382007458774;0.0;1.0;0.48148148148148145;0.00333382007458774;1.0;1.027253325734171e-15;0.06575498575498576;0.39463871523107225;0.30484330484330485;-0.985454987894034;0.25;-0.573556047455916;0.25;2.696927207422349;0.02561642289265564;-1.3590421491677027;0.25;8.498205672476063;0.001;32.56617263543519;0.001
21;107;1986.0;0.09173789173789174;0.32877818888128635;0.04672897196261682;0.9998407835872806;0.14814814814814814;0.9356622290518453;0.48148148148148145;0.00333382007458774;0.0;1.0;0.5185185185185185;0.0011383775864635356;1.0;1.027253325734171e-15;0.07122507122507123;0.37934035953945283;0.30484330484330485;0.45500354466282983;0.21594113723323957;-0.0684781955945545;0.25;3.437345535555709;0.013188940961977662;-1.3590421491677027;0.25;9.835533380392858;0.001;32.52011313909134;0.001
22;107;528.0;0.08603988603988605;0.3388625713788308;0.028037383177570093;0.999999999999476;0.1111111111111111;0.9973888598742788;0.5185185185185185;0.0011383775864635356;0.0;1.0;0.5555555555555556;0.00035235496723871337;1.0;1.027253325734171e-15;0.08159544159544162;0.34914279817538724;0.30484330484330485;-0.3114004335416987;0.25;-0.49187077172824206;0.25;5.281824165517235;0.0027521816936612554;-1.3590421491677027;0.25;11.340056119692193;0.001;32.51837078641064;0.001
23;107;369.0;0.074985754985755;0.36563135433752436;0.056074766355140186;0.9963303771113726;0.1111111111111111;0.9973888598742788;0.5185185185185185;0.0011383775864635356;0.0;1.0;0.48148148148148145;0.00333382007458774;1.0;1.027253325734171e-15;0.07475783475783476;0.3665502656731024;0.30484330484330485;3.499065064048987;0.012490173646274567;-0.5755511011334816;0.25;3.7919223527803227;0.009665208088684853;-1.3590421491677027;0.25;8.583449614632073;0.001;32.613094162628606;0.001
24;107;778.0;0.1201139601139601;0.2619626267156057;0.018691588785046728;0.9999999999999998;0.14814814814814814;0.9356622290518453;0.5925925925925926;9.83316187642921e-05;0.0;1.0;0.5185185185185185;0.0011383775864635356;1.0;1.027253325734171e-15;0.09880341880341881;0.30443914344381995;0.30484330484330485;-0.9373162913553065;0.25;-0.7334612786374499;0.25;11.205079497376829;0.001;-1.3590421491677027;0.25;10.165509851452104;0.001;33.04220278066556;0.001
25;107;670.0;0.06940170940170941;0.25158444764226917;0.018691588785046728;0.9999999999999998;0.1111111111111111;0.9973888598742788;0.48148148148148145;0.00333382007458774;0.0;1.0;0.5925925925925926;9.83316187642921e-05;1.0;1.027253325734171e-15;0.06735042735042736;0.3890254106588988;0.30484330484330485;-0.9123931195313624;0.25;-0.5644880446322792;0.25;3.150360744172104;0.017018816137970516;-1.3590421491677027;0.25;12.73834892003646;0.001;32.64716410070748;0.001
26;107;650.0;0.07168091168091169;0.37447917572034645;0.028037383177570093;0.999999999999476;0.1111111111111111;0.9973888598742788;0.5185185185185185;0.0011383775864635356;0.0;1.0;0.5925925925925926;9.83316187642921e-05;1.0;1.027253325734171e-15;0.06803418803418804;0.38733935097466393;0.30484330484330485;-0.8922389701236865;0.25;-0.5892139735903641;0.25;4.701850071020169;0.004444944148498285;-1.3590421491677027;0.25;12.720945165074907;0.001;32.579375134229615;0.001
27;107;971.0;0.07327635327635328;0.3697377118307092;0.009345794392523364;0.9999999999999997;0.14814814814814814;0.9356622290518453;0.48148148148148145;0.00333382007458774;0.0;1.0;0.6296296296296297;2.4582904691073025e-05;1.0;1.027253325734171e-15;0.06803418803418804;0.3878786725135954;0.30484330484330485;-1.2335393775535974;0.25;-0.034120590352166115;0.25;3.1658265176308573;0.01678531229351706;-1.3590421491677027;0.25;14.406021975087496;0.001;32.631160742282006;0.001
28;107;1149.0;0.09333333333333334;0.04244138617584584;0.009345794392523364;0.9999999999999997;0.14814814814814814;0.9356622290518453;0.5555555555555556;0.00035235496723871337;0.0;1.0;0.5185185185185185;0.0011383775864635356;1.0;1.027253325734171e-15;0.0776068376068376;0.3573987792655155;0.30484330484330485;-1.2403064776080548;0.25;-0.8707906940361022;0.25;5.541248743063855;0.002229843211087399;-1.3590421491677027;0.25;9.913410664083004;0.001;33.166300101259154;0.001
29;107;859.0;0.06598290598290599;0.39233068821844425;0.028037383177570093;0.999999999999476;0.14814814814814814;0.9356622290518453;0.48148148148148145;0.00333382007458774;0.0;1.0;0.6296296296296297;2.4582904691073025e-05;1.0;1.027253325734171e-15;0.06518518518518518;0.39608593506839784;0.30484330484330485;-1.1969225670142356;0.25;-0.0182828688897643;0.25;2.769676977188782;0.02397766306133018;-1.3590421491677027;0.25;14.494872094866158;0.001;32.62435792627356;0.001
30;107;650.0;0.06951566951566951;0.3817284988726744;0.028037383177570093;0.999999999999476;0.14814814814814814;0.9356622290518453;0.1111111111111111;0.9973888598742788;0.0;1.0;0.6296296296296297;2.4582904691073025e-05;1.0;1.027253325734171e-15;0.06438746438746439;0.40081685435954784;0.30484330484330485;-0.8922389701236865;0.25;-0.004596352722687125;0.25;-1.1957737347743924;0.25;-1.3590421491677027;0.25;14.351547409184327;0.001;32.56617263543519;0.001
31;107;1787.0;0.07783475783475782;0.3547219216061077;0.056074766355140186;0.9963303771113726;0.14814814814814814;0.9356622290518453;0.5185185185185185;0.0011383775864635356;0.0;1.0;0.6296296296296297;2.4582904691073025e-05;1.0;1.027253325734171e-15;0.07190883190883192;0.3741828663212289;0.30484330484330485;0.4128918696844044;0.22515720644144707;-0.03946374601222235;0.25;3.5694029030302845;0.011740841520946486;-1.3590421491677027;0.25;14.262814406055346;0.001;32.59353665557938;0.001
32;107;1243.0;0.08729344729344729;0.3309412684741255;0.018691588785046728;0.9999999999999998;0.1111111111111111;0.9973888598742788;0.5185185185185185;0.0011383775864635356;0.0;1.0;0.5555555555555556;0.00035235496723871337;1.0;1.027253325734171e-15;0.08467236467236468;0.33963871355455594;0.30484330484330485;-1.021957592551974;0.25;-0.8773840158654338;0.25;5.844565410267051;0.0017488642958011487;-1.3590421491677027;0.25;11.308821115263166;0.001;32.99839501447716;0.001
33;107;880.0;0.08900284900284901;0.13958609573841005;0.018691588785046728;0.9999999999999998;0.1111111111111111;0.9973888598742788;0.5555555555555556;0.00035235496723871337;0.0;1.0;0.5925925925925926;9.83316187642921e-05;1.0;1.027253325734171e-15;0.08421652421652422;0.34178523895791024;0.30484330484330485;-1.2224377469933096;0.25;-0.5415678338050284;0.25;6.865432943413678;0.001;-1.3590421491677027;0.25;12.816496550697279;0.001;32.62261557359285;0.001
34;107;676.0;0.06700854700854701;0.2548278505668052;0.037383177570093455;0.9999995978128337;0.1111111111111111;0.9973888598742788;0.07407407407407407;0.9999999310621962;0.0;1.0;0.5925925925925926;9.83316187642921e-05;1.0;1.027253325734171e-15;0.06438746438746439;0.40041761309646545;0.30484330484330485;-0.8841602882768516;0.25;-0.5200003241059371;0.25;-1.2533343686341283;0.25;-1.3590421491677027;0.25;12.748768106403467;0.001;32.56617263543519;0.001
35;107;753.0;0.07897435897435898;0.3531774471186519;0.037383177570093455;0.9999995978128337;0.1111111111111111;0.9973888598742788;0.5185185185185185;0.0011383775864635356;0.0;1.0;0.5925925925925926;9.83316187642921e-05;1.0;1.027253325734171e-15;0.07806267806267807;0.35662355842062454;0.30484330484330485;-1.2273883726330783;0.25;-0.5346924105077752;0.25;3.85758379768737;0.009129140274638826;-1.3590421491677027;0.25;12.744347530937834;0.001;33.04531654167058;0.001
