i;Links;Weights;BCW;CCW;Stat_Weights;p-value_Weights;Stat_BC;p-value_BC;Stat_CC;p-value_CC;Stat_DC;p-value_DC;Stat_BCW;p-value_BCW;Stat_CCW;p-value_CCW;BC;CC;DC;AD_Weights;p-value_Weights;AD_BC;p-value_BC;AD_CC;p-value_CC;AD_DC;p-value_DC;AD_BCW;p-value_BCW;AD_CCW;p-value_CCW
0;107;1298.0;0.07407407407407407;0.004910326060826024;0.009345794392523364;0.9999999999999997;0.1111111111111111;0.9973888598742788;0.48148148148148145;0.00333382007458774;0.037037037037037035;1.0;0.07407407407407407;0.9999999310621962;1.0;1.027253325734171e-15;0.07076923076923076;0.3811720909359722;0.3048433048433048;-1.2332868426817478;0.25;-0.5527705069660743;0.25;4.340142175597435;0.0060311207310218525;-1.313830731495715;0.25;-0.9411522980821289;0.25;32.66660853957189;0.001
1;106;941.0;0.10586894586894588;0.006277175997659307;0.0275965438194322;0.9999999991299072;0.5185185185185185;0.0011383775864635356;0.5925925925925926;9.83316187642921e-05;0.07407407407407407;0.9999999310621962;0.48148148148148145;0.00333382007458774;1.0;1.027253325734171e-15;0.10051282051282051;0.3070088372953028;0.301994301994302;-0.42573618044578176;0.25;10.132349892920976;0.001;11.299057837396216;0.001;-1.1038613694619637;0.25;8.776882014797298;0.001;32.1224793304971;0.001
2;107;778.0;0.06837606837606838;0.00958251310814371;0.018691588785046728;0.9999999999999998;0.1111111111111111;0.9973888598742788;0.5185185185185185;0.0011383775864635356;0.037037037037037035;1.0;0.07407407407407407;0.9999999310621962;1.0;1.027253325734171e-15;0.06438746438746439;0.40566796468204486;0.3048433048433048;-0.9373162913553065;0.25;-0.5336868402730146;0.25;3.5513599498609327;0.011928455838676837;-1.313830731495715;0.25;-1.2075810280236317;0.25;32.6290681976298;0.001
3;107;1027.0;0.07247863247863248;0.013276864677087597;0.018691588785046728;0.9999999999999998;0.48148148148148145;0.00333382007458774;0.48148148148148145;0.00333382007458774;0.07407407407407407;0.9999999310621962;0.48148148148148145;0.00333382007458774;1.0;1.027253325734171e-15;0.06358974358974359;0.4143590226587721;0.30484330484330485;-0.9346889089450694;0.25;8.564326774245734;0.001;3.585808925983416;0.011572930017173223;-1.241844563951246;0.25;8.63997405702559;0.001;31.429265342788412;0.001
4;106;1374.0;0.07840455840455841;0.006175009994895435;0.01948509962969494;1.0;0.4074074074074074;0.02166982723648196;0.5185185185185185;0.0011383775864635356;0.07407407407407407;0.9999999310621962;0.4074074074074074;0.02166982723648196;1.0;1.027253325734171e-15;0.07646723646723645;0.36291405573188257;0.301994301994302;-1.2121898971236407;0.25;6.007809320354199;0.0015366272843872295;5.622849620367415;0.00208806452028813;-1.2195936615659193;0.25;6.0820122341406755;0.001449331044252738;31.856398643770024;0.001
5;107;649.0;0.09242165242165241;0.014705888485202543;0.028037383177570093;0.999999999999476;0.48148148148148145;0.00333382007458774;0.5185185185185185;0.0011383775864635356;0.07407407407407407;0.9999999310621962;0.4444444444444444;0.00889018684023524;1.0;1.027253325734171e-15;0.07532763532763533;0.36529556354721965;0.3048433048433048;-1.156913463759773;0.25;8.60158843080104;0.001;3.859488366688098;0.009114064394827627;-1.1392805177943548;0.25;7.445388100211211;0.001;32.21951706760997;0.001
6;107;758.0;0.0815954415954416;0.008912661290429402;0.018691588785046728;0.9999999999999998;0.1111111111111111;0.9973888598742788;0.5185185185185185;0.0011383775864635356;0.037037037037037035;1.0;0.07407407407407407;0.9999999310621962;1.0;1.027253325734171e-15;0.07452991452991453;0.3680541698137834;0.3048433048433048;-0.9328223910346255;0.25;-0.5653077483291709;0.25;4.8122253582739365;0.004053554573224663;-1.313830731495715;0.25;-0.9264749686025244;0.25;32.598335193586635;0.001
7;107;771.0;0.08547008547008546;0.013068813545721668;0.018691588785046728;0.9999999999999998;0.07407407407407407;0.9999999310621962;0.4444444444444444;0.00889018684023524;0.037037037037037035;1.0;0.1111111111111111;0.9973888598742788;1.0;1.027253325734171e-15;0.07225071225071224;0.38690360898904097;0.30484330484330485;-1.2844252094868238;0.25;-0.9404607214585968;0.25;2.3115183866768563;0.03647712349503516;-1.2996678164106836;0.25;-0.8383535987978543;0.25;32.21973978592034;0.001
8;107;1073.0;0.0815954415954416;0.005167284237875869;0.018691588785046728;0.9999999999999998;0.1111111111111111;0.9973888598742788;0.5555555555555556;0.00035235496723871337;0.037037037037037035;1.0;0.1111111111111111;0.9973888598742788;1.0;1.027253325734171e-15;0.07225071225071224;0.3749466485291839;0.3048433048433048;-0.9382677318839099;0.25;-0.5679944357371965;0.25;5.66896941619713;0.002012173547501276;-1.313830731495715;0.25;-0.47000370694832083;0.25;34.130608767868864;0.001
9;107;1096.0;0.07521367521367521;0.005977664644331927;0.018691588785046728;0.9999999999999998;0.1111111111111111;0.9973888598742788;0.48148148148148145;0.00333382007458774;0.037037037037037035;1.0;0.07407407407407407;0.9999999310621962;1.0;1.027253325734171e-15;0.07076923076923076;0.3811720909359722;0.3048433048433048;-1.3158120130934148;0.25;-0.5527705069660743;0.25;4.340142175597435;0.0060311207310218525;-1.313830731495715;0.25;-0.9583668526584685;0.25;32.66660853957189;0.001
10;107;1081.0;0.07532763532763533;0.007369362980104072;0.009345794392523364;0.9999999999999997;0.07407407407407407;0.9999999310621962;0.5185185185185185;0.0011383775864635356;0.037037037037037035;1.0;0.037037037037037035;1.0;1.0;1.027253325734171e-15;0.07464387464387465;0.36787160552134734;0.3048433048433048;-1.2412606730596933;0.25;-1.1921451508718481;0.25;4.84366797799385;0.00394882452267788;-1.313830731495715;0.25;-1.2508715480060562;0.25;32.64525672078006;0.001
11;107;1065.0;0.09048433048433048;0.006073646547585516;0.009345794392523364;0.9999999999999997;0.1111111111111111;0.9973888598742788;0.5185185185185185;0.0011383775864635356;0.037037037037037035;1.0;0.14814814814814814;0.9356622290518453;1.0;1.027253325734171e-15;0.07475783475783475;0.3667271800015745;0.3048433048433048;-1.3214701672743918;0.25;-0.5679944357371965;0.25;5.412364250212181;0.0024748625717849436;-1.313830731495715;0.25;-0.3688662358923544;0.25;33.18393557985985;0.001
