i;Links;Weights;BCW;CCW;Stat_Weights;p-value_Weights;Stat_BC;p-value_BC;Stat_CC;p-value_CC;Stat_DC;p-value_DC;Stat_BCW;p-value_BCW;Stat_CCW;p-value_CCW;BC;CC;DC;AD_Weights;p-value_Weights;AD_BC;p-value_BC;AD_CC;p-value_CC;AD_DC;p-value_DC;AD_BCW;p-value_BCW;AD_CCW;p-value_CCW
0;70;69555.0;0.07847629521016616;0.0007458715842910586;0.08571428571428572;0.9613715612759208;0.21212121212121213;0.45349473522704375;0.21212121212121213;0.45349473522704375;0.0;1.0;0.18181818181818182;0.6543432845812748;1.0;2.7703024114436334e-19;0.05046432062561094;0.4002542843455784;0.13257575757575757;-0.8807212506462205;0.25;0.5507361219609985;0.1964165933895944;0.1218229597566962;0.25;-1.3508381893474768;0.25;-0.04242258935229895;0.25;33.464405644321246;0.001
1;70;60085.0;0.09035923753665688;0.0008826208755472653;0.1;0.8786661300369446;0.15151515151515152;0.851010941578351;0.18181818181818182;0.6543432845812748;0.0;1.0;0.15151515151515152;0.851010941578351;1.0;2.7703024114436334e-19;0.049425708699902246;0.40568540414350784;0.13257575757575757;-0.6077810555689217;0.25;0.18420131071053034;0.25;0.04288898734290017;0.25;-1.3508381893474768;0.25;0.004450733068872063;0.25;33.60726906072106;0.001
2;70;69797.0;0.07331378299120235;0.0006254417689580965;0.08571428571428572;0.9613715612759208;0.21212121212121213;0.45349473522704375;0.18181818181818182;0.6543432845812748;0.0;1.0;0.18181818181818182;0.6543432845812748;1.0;2.7703024114436334e-19;0.05180840664711632;0.394638792890732;0.13257575757575757;-0.8695709047474611;0.25;0.173837458405735;0.25;-0.7384124089975537;0.25;-1.3508381893474768;0.25;-0.28971333593340853;0.25;33.43763973678751;0.001
3;70;65867.0;0.0824169110459433;0.0008056673951355993;0.05714285714285714;0.9998859703191283;0.24242424242424243;0.28992386608240617;0.21212121212121213;0.45349473522704375;0.0;1.0;0.12121212121212122;0.9725172787255439;1.0;2.7703024114436334e-19;0.04967008797653958;0.40406491627170155;0.13257575757575757;-1.171353988474253;0.25;0.6624426370222437;0.17592866659175624;0.28729959982529635;0.25;-1.3508381893474768;0.25;-0.9163798240589759;0.25;33.42796719860945;0.001
4;70;67575.0;0.08706011730205279;0.0006808385833067302;0.07142857142857142;0.9947174326443955;0.18181818181818182;0.6543432845812748;0.18181818181818182;0.6543432845812748;0.0;1.0;0.21212121212121213;0.45349473522704375;1.0;2.7703024114436334e-19;0.05009775171065493;0.40251979933740767;0.13257575757575757;-1.0791394023090985;0.25;-0.39277425272803673;0.25;0.3584704840745233;0.23767495608891576;-1.3508381893474768;0.25;-0.5997239993307262;0.25;33.56894307339706;0.001
5;70;74105.0;0.07526881720430106;0.0006693927468185718;0.11428571428571428;0.7544211323394037;0.18181818181818182;0.6543432845812748;0.18181818181818182;0.6543432845812748;0.0;1.0;0.12121212121212122;0.9725172787255439;1.0;2.7703024114436334e-19;0.049303519061583576;0.4056583139348273;0.13257575757575757;-0.30476821992096326;0.25;-0.1699023338601114;0.25;0.6106168092037457;0.1851433006843523;-1.3508381893474768;0.25;-1.0565805512434876;0.25;33.53685379140241;0.001
6;70;64350.0;0.0687316715542522;0.0006170092907373796;0.1;0.8786661300369446;0.21212121212121213;0.45349473522704375;0.15151515151515152;0.851010941578351;0.0;1.0;0.09090909090909091;0.9994866573702369;1.0;2.7703024114436334e-19;0.04936461388074291;0.4049229205453221;0.13257575757575757;-0.6983182239821305;0.25;-0.18169644645493896;0.25;0.1879018215579334;0.25;-1.3508381893474768;0.25;-1.0550079438349105;0.25;33.67775511480585;0.001
7;70;67246.0;0.08577712609970674;0.0007684078103544749;0.07142857142857142;0.9947174326443955;0.18181818181818182;0.6543432845812748;0.18181818181818182;0.6543432845812748;0.0;1.0;0.12121212121212122;0.9725172787255439;1.0;2.7703024114436334e-19;0.051747311827956985;0.3947637976403024;0.13257575757575757;-0.9974409322331067;0.25;-0.7856836726649059;0.25;-0.7027494977389773;0.25;-1.3508381893474768;0.25;-0.9412237211811211;0.25;33.413370178223026;0.001
8;70;51466.0;0.08308895405669599;0.0009960336009538452;0.15714285714285714;0.3550886868062197;0.24242424242424243;0.28992386608240617;0.15151515151515152;0.851010941578351;0.0;1.0;0.18181818181818182;0.6543432845812748;1.0;2.7703024114436334e-19;0.051502932551319644;0.3952361527234942;0.13257575757575757;0.2909228889378472;0.25;0.1449427418971277;0.25;-0.5846419517230538;0.25;-1.3508381893474768;0.25;-0.3779317296127787;0.25;33.617825462275505;0.001
9;70;63391.0;0.07441348973607038;0.00067521068686059;0.1;0.8786661300369446;0.12121212121212122;0.9725172787255439;0.15151515151515152;0.851010941578351;0.0;1.0;0.18181818181818182;0.6543432845812748;1.0;2.7703024114436334e-19;0.05461876832844575;0.38326556586864025;0.13257575757575757;-0.4942583200140905;0.25;-0.98599349437599;0.25;-0.8626715970183946;0.25;-1.3508381893474768;0.25;-0.8121562411583751;0.25;33.46399856773001;0.001
10;70;59018.0;0.08290566959921797;0.0007565349084822016;0.04285714285714286;0.9999999822132478;0.15151515151515152;0.851010941578351;0.21212121212121213;0.45349473522704375;0.0;1.0;0.21212121212121213;0.45349473522704375;1.0;2.7703024114436334e-19;0.04960899315738025;0.40373522277089285;0.13257575757575757;-1.1406479483262515;0.25;-0.07473986991154057;0.25;0.22143834569292967;0.25;-1.3508381893474768;0.25;-0.31513424678912366;0.25;33.624659267927996;0.001
11;70;71390.0;0.07154203323558161;0.0006917216390473455;0.1;0.8786661300369446;0.18181818181818182;0.6543432845812748;0.24242424242424243;0.28992386608240617;0.0;1.0;0.18181818181818182;0.6543432845812748;1.0;2.7703024114436334e-19;0.048875855327468236;0.4084497276393631;0.13257575757575757;-0.7995341552752803;0.25;0.12779838546854397;0.25;1.1319818682238416;0.11127554773395014;-1.3508381893474768;0.25;-0.6392632440495136;0.25;33.40591366782765;0.001
12;70;70506.0;0.07141984359726294;0.0006279744375902146;0.1;0.8786661300369446;0.12121212121212122;0.9725172787255439;0.18181818181818182;0.6543432845812748;0.0;1.0;0.12121212121212122;0.9725172787255439;1.0;2.7703024114436334e-19;0.0514418377321603;0.39740498196321244;0.13257575757575757;-0.4312238764555502;0.25;-0.5852245435157556;0.25;-0.5584035867277164;0.25;-1.3508381893474768;0.25;-0.9673259332097547;0.25;33.45742954898175;0.001
13;70;67015.0;0.07441348973607038;0.0006296866448268422;0.1;0.8786661300369446;0.18181818181818182;0.6543432845812748;0.15151515151515152;0.851010941578351;0.0;1.0;0.18181818181818182;0.6543432845812748;1.0;2.7703024114436334e-19;0.05119745845552296;0.39775699251407803;0.13257575757575757;-0.6166315707289083;0.25;-0.05255813669488406;0.25;-0.5326101066526148;0.25;-1.3508381893474768;0.25;-0.3144330785878295;0.25;33.48743704555888;0.001
