i;Links;Weights;BCW;CCW;Stat_Weights;p-value_Weights;Stat_BC;p-value_BC;Stat_CC;p-value_CC;Stat_DC;p-value_DC;Stat_BCW;p-value_BCW;Stat_CCW;p-value_CCW;BC;CC;DC;AD_Weights;p-value_Weights;AD_BC;p-value_BC;AD_CC;p-value_CC;AD_DC;p-value_DC;AD_BCW;p-value_BCW;AD_CCW;p-value_CCW
0;38;25501.0;0.08125356125356126;0.0006483554869415961;0.10526315789473684;0.9866453783650283;0.1111111111111111;0.9973888598742788;0.14814814814814814;0.9356622290518453;0.0;1.0;0.1111111111111111;0.9973888598742788;1.0;1.027253325734171e-15;0.07555555555555556;0.35777980212472227;0.10826210826210828;-1.0608854958229703;0.25;-1.1084615734928165;0.25;-0.8574969141874694;0.25;-1.3590421491677027;0.25;-0.9981449053767627;0.25;27.44331609441873;0.001
1;38;26039.0;0.08467236467236468;0.000773254518812714;0.13157894736842105;0.9032533298136647;0.1111111111111111;0.9973888598742788;0.2222222222222222;0.5256377612776422;0.0;1.0;0.14814814814814814;0.9356622290518453;1.0;1.027253325734171e-15;0.07236467236467237;0.36840597400619035;0.10826210826210828;-0.8002489803184728;0.25;-1.0282670685408355;0.25;-0.3460792905917931;0.25;-1.3590421491677027;0.25;-1.1256194427927138;0.25;27.425742383250732;0.001
2;38;30073.0;0.09675213675213676;0.000702593298100801;0.15789473684210525;0.7378793870697806;0.1111111111111111;0.9973888598742788;0.2222222222222222;0.5256377612776422;0.0;1.0;0.1111111111111111;0.9973888598742788;1.0;1.027253325734171e-15;0.07441595441595442;0.36173562681946514;0.10826210826210828;-0.406632794771816;0.25;-1.217986082943932;0.25;-0.14187399013389781;0.25;-1.3590421491677027;0.25;-0.9057059817437092;0.25;27.406996405801284;0.001
3;38;25384.0;0.09162393162393162;0.0005925681350324156;0.07894736842105263;0.999869343192135;0.07407407407407407;0.9999999310621962;0.2222222222222222;0.5256377612776422;0.0;1.0;0.07407407407407407;0.9999999310621962;1.0;1.027253325734171e-15;0.07373219373219374;0.36203513353816397;0.10826210826210828;-1.0067256185984597;0.25;-1.2585159399506434;0.25;-0.3841188572865821;0.25;-1.3590421491677027;0.25;-1.149591206356553;0.25;27.303715046601468;0.001
4;38;24687.0;0.0939031339031339;0.0006785236181376006;0.07894736842105263;0.999869343192135;0.037037037037037035;1.0;0.14814814814814814;0.9356622290518453;0.0;1.0;0.1111111111111111;0.9973888598742788;1.0;1.027253325734171e-15;0.07965811965811966;0.3483354611670937;0.10826210826210828;-0.9755948695450579;0.25;-1.2644647188397993;0.25;-0.7503660206813323;0.25;-1.3590421491677027;0.25;-0.9949147656727011;0.25;27.556772917403737;0.001
5;38;20844.0;0.10358974358974359;0.0006847753126510396;0.18421052631578946;0.5452867518859059;0.07407407407407407;0.9999999310621962;0.18518518518518517;0.7536974563793281;0.0;1.0;0.1111111111111111;0.9973888598742788;1.0;1.027253325734171e-15;0.07532763532763534;0.3585451957194213;0.10826210826210828;0.23104135724059063;0.25;-1.2099970905733317;0.25;-0.7402755451887952;0.25;-1.3590421491677027;0.25;-1.163796104521399;0.25;27.375185746436077;0.001
6;38;30822.0;0.08820512820512821;0.0005695958568912239;0.13157894736842105;0.9032533298136647;0.1111111111111111;0.9973888598742788;0.14814814814814814;0.9356622290518453;0.0;1.0;0.14814814814814814;0.9356622290518453;1.0;1.027253325734171e-15;0.07806267806267807;0.351141664585665;0.10826210826210828;-0.8916842060800462;0.25;-1.2499571464661645;0.25;-1.0327009026560354;0.25;-1.3590421491677027;0.25;-0.9006699340485448;0.25;27.659753261322113;0.001
7;38;24055.0;0.09287749287749288;0.0007259081475610419;0.10526315789473684;0.9866453783650283;0.14814814814814814;0.9356622290518453;0.18518518518518517;0.7536974563793281;0.0;1.0;0.1111111111111111;0.9973888598742788;1.0;1.027253325734171e-15;0.07373219373219374;0.36238700912632416;0.10826210826210828;-0.9348554400348674;0.25;-0.9278971567787161;0.25;-0.9073371273879236;0.25;-1.3590421491677027;0.25;-0.8108425719901655;0.25;27.562315913348094;0.001
8;38;34417.0;0.09173789173789174;0.0005649490731474955;0.21052631578947367;0.37272752790955144;0.18518518518518517;0.7536974563793281;0.18518518518518517;0.7536974563793281;0.0;1.0;0.1111111111111111;0.9973888598742788;1.0;1.027253325734171e-15;0.07270655270655271;0.36606575775556155;0.10826210826210828;0.17839755670083562;0.25;-0.8919565413432163;0.25;-0.33051657904156173;0.25;-1.3590421491677027;0.25;-1.1347024306041495;0.25;27.41376665768187;0.001
9;38;31392.0;0.12034188034188034;0.000661151710590107;0.07894736842105263;0.999869343192135;0.1111111111111111;0.9973888598742788;0.18518518518518517;0.7536974563793281;0.0;1.0;0.18518518518518517;0.7536974563793281;1.0;1.027253325734171e-15;0.08615384615384615;0.33034801619944176;0.10826210826210828;-1.1095555202595548;0.25;-1.1354586226596022;0.25;-0.4617532387358437;0.25;-1.3590421491677027;0.25;-0.4359174644793023;0.25;27.418375871697872;0.001
