i;Links;Weights;BCW;CCW;Stat_Weights;p-value_Weights;Stat_BC;p-value_BC;Stat_CC;p-value_CC;Stat_DC;p-value_DC;Stat_BCW;p-value_BCW;Stat_CCW;p-value_CCW;BC;CC;DC;AD_Weights;p-value_Weights;AD_BC;p-value_BC;AD_CC;p-value_CC;AD_DC;p-value_DC;AD_BCW;p-value_BCW;AD_CCW;p-value_CCW
0;30;2318.0;0.07122507122507123;0.0050457886012908685;0.16666666666666666;0.8079631540901643;0.07142857142857142;0.9999999649043908;0.17857142857142858;0.7731666610790539;0.0;1.0;0.07142857142857142;0.9999999649043908;1.0;2.6148266473233464e-16;0.07122507122507124;0.36091133792356106;0.07936507936507937;0.179588966922284;0.25;-1.2288280128662366;0.25;-1.0281156669071514;0.25;-1.357431545450821;0.25;-1.2284893349212385;0.25;29.63738445811324;0.001
1;30;1783.0;0.07030932030932031;0.0066253344783758885;0.2;0.5940706297759378;0.07142857142857142;0.9999999649043908;0.14285714285714285;0.9440858097815165;0.0;1.0;0.10714285714285714;0.9980060384494495;1.0;2.6148266473233464e-16;0.0694953194953195;0.36550687006898347;0.07936507936507937;-0.3272671586081614;0.25;-1.299750594881918;0.25;-1.046562544362811;0.25;-1.357431545450821;0.25;-0.8129447449805336;0.25;29.515210458654103;0.001
2;30;1962.0;0.06919006919006919;0.005647070883012777;0.06666666666666667;0.9999999909208507;0.07142857142857142;0.9999999649043908;0.2857142857142857;0.20527832022526032;0.0;1.0;0.10714285714285714;0.9980060384494495;1.0;2.6148266473233464e-16;0.0691900691900692;0.3655956567750525;0.07936507936507937;-1.1684616583991316;0.25;-1.219327622089864;0.25;-0.08773330703650557;0.25;-1.357431545450821;0.25;-0.8331965575598123;0.25;29.319795077830197;0.001
3;30;1922.0;0.07407407407407408;0.0056656636106974245;0.16666666666666666;0.8079631540901643;0.07142857142857142;0.9999999649043908;0.21428571428571427;0.549366998032041;0.0;1.0;0.07142857142857142;0.9999999649043908;1.0;2.6148266473233464e-16;0.07326007326007326;0.3540475781564675;0.07936507936507937;-0.5330270559307386;0.25;-0.9571964472478185;0.25;-0.5915526014294468;0.25;-1.357431545450821;0.25;-0.9417024380124944;0.25;29.42098391126766;0.001
4;30;2502.0;0.07844932844932846;0.005123065969378768;0.13333333333333333;0.9578462903438838;0.14285714285714285;0.9440858097815165;0.5;0.0015178367819511198;0.0;1.0;0.07142857142857142;0.9999999649043908;1.0;2.6148266473233464e-16;0.07712657712657713;0.34421281044853896;0.07936507936507937;-0.7962302632801087;0.25;-1.0332550336301571;0.25;3.3829421129567123;0.013838814654230975;-1.357431545450821;0.25;-1.20355288762551;0.25;29.26940002284982;0.001
5;30;1956.0;0.07030932030932031;0.005656357483378131;0.1;0.9988393756362763;0.07142857142857142;0.9999999649043908;0.17857142857142858;0.7731666610790539;0.0;1.0;0.10714285714285714;0.9980060384494495;1.0;2.6148266473233464e-16;0.0701058201058201;0.36394139089289407;0.07936507936507937;-0.9758028953099991;0.25;-1.2435504405413302;0.25;-1.0001883209133884;0.25;-1.357431545450821;0.25;-1.225508889505517;0.25;29.73528659915249;0.001
6;30;2146.0;0.080993080993081;0.005887882291385765;0.1;0.9988393756362763;0.07142857142857142;0.9999999649043908;0.2857142857142857;0.20527832022526032;0.0;1.0;0.10714285714285714;0.9980060384494495;1.0;2.6148266473233464e-16;0.0695970695970696;0.3651108916273643;0.07936507936507937;-1.1730997338086337;0.25;-1.2435504405413302;0.25;-0.5212195775543508;0.25;-1.357431545450821;0.25;-1.225508889505517;0.25;29.509511511552123;0.001
7;30;2512.0;0.07529507529507529;0.004736391929293665;0.1;0.9988393756362763;0.10714285714285714;0.9980060384494495;0.17857142857142858;0.7731666610790539;0.0;1.0;0.07142857142857142;0.9999999649043908;1.0;2.6148266473233464e-16;0.07244607244607246;0.3576123960250168;0.07936507936507937;-1.0435814588416348;0.25;-1.116137993800831;0.25;-0.7751302703219205;0.25;-1.357431545450821;0.25;-1.2222618522195805;0.25;29.297574880574068;0.001
8;30;2177.0;0.0752950752950753;0.005220096895209206;0.13333333333333333;0.9578462903438838;0.07142857142857142;0.9999999649043908;0.25;0.3506382141764657;0.0;1.0;0.07142857142857142;0.9999999649043908;1.0;2.6148266473233464e-16;0.0752950752950753;0.3493591768362867;0.07936507936507937;-0.7002769204938702;0.25;-1.191172508528339;0.25;0.9538317672495613;0.13227234404843305;-1.357431545450821;0.25;-1.2223281964606347;0.25;29.284446582101296;0.001
9;30;1764.0;0.0696988196988197;0.00697608857679174;0.13333333333333333;0.9578462903438838;0.07142857142857142;0.9999999649043908;0.32142857142857145;0.11103086649998889;0.0;1.0;0.14285714285714285;0.9440858097815165;1.0;2.6148266473233464e-16;0.06796906796906797;0.3709361036170423;0.07936507936507937;-0.6293297902609355;0.25;-1.2887201393747472;0.25;0.7224463748972457;0.16585161144204352;-1.357431545450821;0.25;-1.0804803893068;0.25;29.34442863564861;0.001
