i;Links;Weights;BCW;CCW;Stat_Weights;p-value_Weights;Stat_BC;p-value_BC;Stat_CC;p-value_CC;Stat_DC;p-value_DC;Stat_BCW;p-value_BCW;Stat_CCW;p-value_CCW;BC;CC;DC;AD_Weights;p-value_Weights;AD_BC;p-value_BC;AD_CC;p-value_CC;AD_DC;p-value_DC;AD_BCW;p-value_BCW;AD_CCW;p-value_CCW
0;92;1693.0;0.039088319088319085;0.5154268677775752;0.06349045103616416;0.9774000457943248;0.7037037037037037;1.0688219430901316e-06;0.9259259259259259;1.4699995091255986e-12;0.4444444444444444;0.00889018684023524;0.6666666666666666;5.462867709127339e-06;1.0;1.027253325734171e-15;0.034188034188034185;0.5470001216799066;0.26210826210826216;0.3070297359129053;0.25;18.40784449752169;0.001;24.935956611624466;0.001;5.478585507429005;0.0023456053849256527;16.590789943194732;0.001;30.603403835215673;0.001
1;92;1038.0;0.03407407407407407;0.5475013654953494;0.016964648516863065;1.0;0.7037037037037037;1.0688219430901316e-06;0.9259259259259259;1.4699995091255986e-12;0.4074074074074074;0.02166982723648196;0.7037037037037037;1.0688219430901316e-06;1.0;1.027253325734171e-15;0.0327065527065527;0.5579523728391492;0.26210826210826216;-1.3071689723771713;0.25;18.163749360039635;0.001;25.218427961766817;0.001;3.31090748255086;0.014751276293241867;18.343296810393692;0.001;30.739632926531392;0.001
2;92;839.0;0.035897435897435895;0.5338267189521716;0.01259650548557497;1.0;0.7407407407407407;1.8192713924938412e-07;0.8888888888888888;2.5479991491510378e-11;0.4444444444444444;0.00889018684023524;0.7407407407407407;1.8192713924938412e-07;1.0;1.027253325734171e-15;0.034074074074074076;0.5465143594406264;0.26210826210826216;-1.2353590130229248;0.25;20.1751218196381;0.001;26.22256343448567;0.001;6.8499019404202155;0.001;20.388509497814738;0.001;30.646459047268532;0.001
3;92;782.0;0.03794871794871795;0.520178460701011;0.01716781796017879;1.0;0.7407407407407407;1.8192713924938412e-07;0.9259259259259259;1.4699995091255986e-12;0.48148148148148145;0.00333382007458774;0.7407407407407407;1.8192713924938412e-07;1.0;1.027253325734171e-15;0.03373219373219373;0.5473046753303326;0.26210826210826216;-1.1663610170333618;0.25;20.296233842085833;0.001;27.668674359508937;0.001;7.76258868813677;0.001;20.464033724576307;0.001;30.70384313250758;0.001
4;92;839.0;0.034985754985754985;0.5395252631244586;0.021535960991466884;0.9999999999999999;0.7407407407407407;1.8192713924938412e-07;0.9259259259259259;1.4699995091255986e-12;0.4444444444444444;0.00889018684023524;0.7407407407407407;1.8192713924938412e-07;1.0;1.027253325734171e-15;0.03293447293447293;0.5549344375709637;0.26210826210826216;-1.165769515092249;0.25;20.09625618653727;0.001;27.47873384036022;0.001;5.574223158267175;0.0021713642809591187;20.129556579235285;0.001;30.60165877459715;0.001
5;92;625.0;0.033846153846153845;0.5498643074366416;0.03433563592035758;0.9999996511503081;0.7407407407407407;1.8192713924938412e-07;0.9629629629629629;5.547167958964523e-14;0.4074074074074074;0.02166982723648196;0.7407407407407407;1.8192713924938412e-07;1.0;1.027253325734171e-15;0.032364672364672366;0.5602651038784834;0.26210826210826216;-0.1997945534484821;0.25;19.931150271699437;0.001;27.652512353831852;0.001;4.317190763110502;0.0061500311761065445;20.15601225811044;0.001;30.700781082795583;0.001
6;92;1072.0;0.03544159544159544;0.5362600955840305;0.03392929703372613;0.9999997585862559;0.7407407407407407;1.8192713924938412e-07;0.9259259259259259;1.4699995091255986e-12;0.4074074074074074;0.02166982723648196;0.7407407407407407;1.8192713924938412e-07;1.0;1.027253325734171e-15;0.03225071225071225;0.5593514094379889;0.26210826210826216;-0.48419578892184284;0.25;20.10714960486855;0.001;27.3837367250601;0.001;6.235809925126772;0.0012846863606920868;20.142864862365226;0.001;30.71266113101807;0.001
7;92;855.0;0.036467236467236465;0.5316681096126368;0.016964648516863065;1.0;0.7037037037037037;1.0688219430901316e-06;0.8888888888888888;2.5479991491510378e-11;0.37037037037037035;0.04843826268679447;0.6666666666666666;5.462867709127339e-06;1.0;1.027253325734171e-15;0.033846153846153845;0.5505758143277663;0.26210826210826216;-1.18415630891923;0.25;18.309996417695682;0.001;22.3079307533342;0.001;3.375242458722814;0.013933462843117897;16.6663141699563;0.001;30.542773085573998;0.001
8;92;355.0;0.03555555555555555;0.5368910586749513;0.043681430312880944;0.9998759328276128;0.7407407407407407;1.8192713924938412e-07;0.9259259259259259;1.4699995091255986e-12;0.4074074074074074;0.02166982723648196;0.7407407407407407;1.8192713924938412e-07;1.0;1.027253325734171e-15;0.03430199430199431;0.5454528510829424;0.26210826210826216;0.8585073426201908;0.1451587136321523;20.09625618653727;0.001;27.50169645448201;0.001;5.418110592118795;0.002463353967826648;20.290661417988726;0.001;30.805251101528604;0.001
9;92;1295.0;0.037834757834757836;0.5228052868896411;0.026310442909386427;0.9999999999865216;0.7037037037037037;1.0688219430901316e-06;0.8888888888888888;2.5479991491510378e-11;0.4444444444444444;0.00889018684023524;0.7037037037037037;1.0688219430901316e-06;1.0;1.027253325734171e-15;0.03487179487179487;0.543402230438532;0.26210826210826216;-0.8610051097956318;0.25;18.220660663984532;0.001;24.236117643215888;0.001;4.571544064196545;0.004958756912634137;18.216615747728532;0.001;30.455039179284306;0.001
