i;Links;Weights;BCW;CCW;Stat_Weights;p-value_Weights;Stat_BC;p-value_BC;Stat_CC;p-value_CC;Stat_DC;p-value_DC;Stat_BCW;p-value_BCW;Stat_CCW;p-value_CCW;BC;CC;DC;AD_Weights;p-value_Weights;AD_BC;p-value_BC;AD_CC;p-value_CC;AD_DC;p-value_DC;AD_BCW;p-value_BCW;AD_CCW;p-value_CCW
0;62;64875.0;0.07349706744868034;0.0006775573138937017;0.12073732718894009;0.6659681836564273;0.21212121212121213;0.45349473522704375;0.36363636363636365;0.024674332703421464;0.21212121212121213;0.45349473522704375;0.2727272727272727;0.1729142542609664;1.0;2.7703024114436334e-19;0.0446603128054741;0.4280365025545119;0.11742424242424243;-0.5596213012581195;0.25;0.4775037844333333;0.21117820365913847;4.336617010249511;0.0060492263794992545;0.9190771951892349;0.13682721688944138;2.0076638791196095;0.04838337499448743;33.58187676065694;0.001
1;62;52583.0;0.06433284457478006;0.000800874128804639;0.10783410138248847;0.7877420678739158;0.15151515151515152;0.851010941578351;0.15151515151515152;0.851010941578351;0.21212121212121213;0.45349473522704375;0.18181818181818182;0.6543432845812748;1.0;2.7703024114436334e-19;0.05034213098729227;0.3995084686193997;0.11742424242424243;-0.7723568961795055;0.25;-0.8696407345612328;0.25;-0.14551999265530974;0.25;-0.09862699071512467;0.25;-0.428145791876043;0.25;33.547302216853694;0.001
2;62;65076.0;0.07166422287390029;0.000759854409686757;0.10737327188940092;0.7902292894637071;0.24242424242424243;0.28992386608240617;0.42424242424242425;0.0047933506183064365;0.21212121212121213;0.45349473522704375;0.30303030303030304;0.09654611183078916;1.0;2.7703024114436334e-19;0.04453812316715542;0.4281570987524097;0.11742424242424243;-0.667802423832069;0.25;0.9654303190833653;0.13078753588936445;4.842241025345893;0.003953515231014562;1.514431662264521;0.07707909916194813;2.1488819484754735;0.04241314595000398;33.58347656449838;0.001
3;62;50867.0;0.06567693059628543;0.0007968264116562835;0.11474654377880185;0.7229614863295407;0.18181818181818182;0.6543432845812748;0.30303030303030304;0.09654611183078916;0.18181818181818182;0.6543432845812748;0.21212121212121213;0.45349473522704375;1.0;2.7703024114436334e-19;0.04747067448680352;0.41271186324028103;0.11742424242424243;-0.8448603207719869;0.25;-0.4260413819432692;0.25;2.3715654005201694;0.034510434059909646;-0.1940438864357323;0.25;-0.1385495830161713;0.25;33.662772503399935;0.001
4;62;67350.0;0.07227517106549365;0.0007352915801325458;0.09539170506912442;0.8886032033360328;0.2727272727272727;0.1729142542609664;0.45454545454545453;0.001897367954046958;0.24242424242424243;0.28992386608240617;0.3333333333333333;0.05046994940501517;1.0;2.7703024114436334e-19;0.044354838709677415;0.42854380714236523;0.11742424242424243;-0.5354146378579197;0.25;0.8913511558524704;0.14057759261819133;5.377054923732473;0.0025468359711101024;2.1439982886202666;0.042606237950662235;4.141736895795787;0.00714452029309618;33.76055984398337;0.001
5;62;51959.0;0.07966764418377321;0.0007964228241968294;0.10230414746543778;0.835327622780626;0.15151515151515152;0.851010941578351;0.18181818181818182;0.6543432845812748;0.21212121212121213;0.45349473522704375;0.18181818181818182;0.6543432845812748;1.0;2.7703024114436334e-19;0.04912023460410557;0.4052429240822981;0.11742424242424243;-0.9007624230965211;0.25;-0.7053110536469069;0.25;0.598314882657571;0.18740323030904812;-0.04247100079504987;0.25;-0.8874269977922701;0.25;33.59040307849498;0.001
6;62;67218.0;0.07710166177908113;0.0005966917572777039;0.11658986175115207;0.7060161500223051;0.24242424242424243;0.28992386608240617;0.36363636363636365;0.024674332703421464;0.24242424242424243;0.28992386608240617;0.15151515151515152;0.851010941578351;1.0;2.7703024114436334e-19;0.04539345063538612;0.4237116068145907;0.11742424242424243;-0.0006948626608814158;0.25;0.32615730187614744;0.2454468509635991;3.600199070587245;0.011427720752738488;1.269806690302021;0.09742422869635828;-0.1637652276166439;0.25;33.51397004907305;0.001
7;62;55252.0;0.06359970674486803;0.0006571866811831135;0.12258064516129032;0.6476487355633045;0.18181818181818182;0.6543432845812748;0.2727272727272727;0.1729142542609664;0.18181818181818182;0.6543432845812748;0.15151515151515152;0.851010941578351;1.0;2.7703024114436334e-19;0.048814760508308894;0.4059694403847542;0.11742424242424243;-0.5774945037546749;0.25;-0.56276267081215;0.25;1.5663613691016798;0.07336057476877748;0.740224825313331;0.16298236412048572;-0.22754158075855707;0.25;33.5161114078874;0.001
8;62;60248.0;0.08021749755620723;0.00083922665482486;0.06359447004608294;0.9974654983880685;0.21212121212121213;0.45349473522704375;0.42424242424242425;0.0047933506183064365;0.21212121212121213;0.45349473522704375;0.2727272727272727;0.1729142542609664;1.0;2.7703024114436334e-19;0.04551564027370479;0.42160702574490344;0.11742424242424243;-1.064879058869784;0.25;0.12022084748763175;0.25;4.5066206616125974;0.005237723177504578;1.7984326616809356;0.058886779285951416;2.3914725383507793;0.0338830986382748;33.6720614665297;0.001
9;62;47407.0;0.06579912023460409;0.000815619897258575;0.16497695852534563;0.2900475586357546;0.15151515151515152;0.851010941578351;0.36363636363636365;0.024674332703421464;0.18181818181818182;0.6543432845812748;0.15151515151515152;0.851010941578351;1.0;2.7703024114436334e-19;0.046493157380254155;0.41679330834260125;0.11742424242424243;0.004592557314057995;0.25;-0.38680553459323813;0.25;3.786164431409571;0.009713764261074894;0.6359511632022785;0.18057786481166485;-0.6828973587267597;0.25;33.719766558185;0.001
