i;Links;Weights;BCW;CCW;Stat_Weights;p-value_Weights;Stat_BC;p-value_BC;Stat_CC;p-value_CC;Stat_DC;p-value_DC;Stat_BCW;p-value_BCW;Stat_CCW;p-value_CCW;BC;CC;DC;AD_Weights;p-value_Weights;AD_BC;p-value_BC;AD_CC;p-value_CC;AD_DC;p-value_DC;AD_BCW;p-value_BCW;AD_CCW;p-value_CCW
0;26;16504.0;0.09971509971509972;0.0004879240285852893;0.10728744939271255;0.9827602106086779;0.2962962962962963;0.18855666321887862;0.5925925925925926;9.83316187642921e-05;0.37037037037037035;0.04843826268679447;0.2222222222222222;0.5256377612776422;1.0;1.027253325734171e-15;0.09971509971509972;0.2951085227304391;0.07407407407407408;-1.0707384848257253;0.25;2.827644330129258;0.02275040743404507;8.566991893837026;0.001;6.626075963588621;0.001;1.6165625506309806;0.06994297789860525;28.77379872040605;0.001
1;26;18756.0;0.10518518518518517;0.00041937159189213603;0.14979757085020243;0.8182470718299732;0.2222222222222222;0.5256377612776422;0.5555555555555556;0.00035235496723871337;0.2962962962962963;0.18855666321887862;0.18518518518518517;0.7536974563793281;1.0;1.027253325734171e-15;0.10518518518518517;0.28656101836097225;0.07407407407407407;-1.100843462382303;0.25;0.8676357309169127;0.14387012496475937;8.476559036271755;0.001;3.7277168409411794;0.010221366288557179;0.05221555443531327;0.25;27.406443938843076;0.001
2;26;18796.0;0.0978917378917379;0.0004948931360760734;0.17813765182186234;0.6310492797527594;0.2222222222222222;0.5256377612776422;0.4444444444444444;0.00889018684023524;0.2962962962962963;0.18855666321887862;0.18518518518518517;0.7536974563793281;1.0;1.027253325734171e-15;0.0978917378917379;0.3040862875045422;0.07407407407407407;-0.5137735194005851;0.25;0.7922352809117624;0.15488054407427787;3.505589230703967;0.012418608499326866;4.267646689031485;0.0064151901990996294;-0.05314578942051965;0.25;27.529788199739137;0.001
3;26;17992.0;0.08125356125356126;0.0006379618596240922;0.17813765182186234;0.6310492797527594;0.2962962962962963;0.18855666321887862;0.18518518518518517;0.7536974563793281;0.37037037037037035;0.04843826268679447;0.25925925925925924;0.3290078898658627;1.0;1.027253325734171e-15;0.08125356125356126;0.34246176430275854;0.07407407407407407;-0.3120124263629109;0.25;2.801905417521413;0.023287036525686516;-0.5817639027735911;0.25;6.453345019299418;0.0010848294824352253;1.6496550695204333;0.06778104178490706;27.92456052312733;0.001
4;26;18969.0;0.10928774928774929;0.00034502718408612327;0.12955465587044535;0.9173657370624351;0.18518518518518517;0.7536974563793281;0.5555555555555556;0.00035235496723871337;0.25925925925925924;0.3290078898658627;0.14814814814814814;0.9356622290518453;1.0;1.027253325734171e-15;0.10928774928774929;0.27918032069838433;0.07407407407407407;-1.002309828220176;0.25;0.16648223740076498;0.25;10.034610961037155;0.001;2.9706917363713035;0.019994415933763176;-0.5316700680547113;0.25;27.47171621070788;0.001
5;26;18355.0;0.07692307692307691;0.0005292108537963874;0.1680161943319838;0.6966586118226656;0.2962962962962963;0.18855666321887862;0.18518518518518517;0.7536974563793281;0.37037037037037035;0.04843826268679447;0.2222222222222222;0.5256377612776422;1.0;1.027253325734171e-15;0.07692307692307691;0.35412665196669146;0.07407407407407407;-0.606510059189269;0.25;2.6981660272280736;0.025587559641084355;-0.6880625676416432;0.25;6.043951025134612;0.001493432972263942;1.3684947667436658;0.08861606944032575;28.19859150043607;0.001
6;26;19398.0;0.09173789173789174;0.000508575718951545;0.12955465587044535;0.9173657370624351;0.18518518518518517;0.7536974563793281;0.37037037037037035;0.04843826268679447;0.3333333333333333;0.09956245106093345;0.2222222222222222;0.5256377612776422;1.0;1.027253325734171e-15;0.09173789173789174;0.3177114943827821;0.07407407407407407;-0.6917954310004193;0.25;0.2170149537240518;0.25;1.9362286384795278;0.051730738913659084;4.058984141100287;0.007670864967896603;-0.31540364956056155;0.25;27.77827527082951;0.001
7;26;12282.0;0.09698005698005698;0.0006920307870227627;0.2773279352226721;0.15038317899471343;0.25925925925925924;0.3290078898658627;0.4074074074074074;0.02166982723648196;0.3333333333333333;0.09956245106093345;0.18518518518518517;0.7536974563793281;1.0;1.027253325734171e-15;0.09698005698005698;0.3028632191046561;0.07407407407407407;0.9394753840637896;0.13413447657867392;1.6518415630680627;0.06764066949393789;3.682270087319299;0.010635234521139188;4.423283314504483;0.0056201980356124035;0.6227647319615663;0.18293939581459812;27.660976548713904;0.001
8;26;15038.0;0.09287749287749288;0.0004774679215620026;0.1902834008097166;0.552231360252511;0.25925925925925924;0.3290078898658627;0.2962962962962963;0.18855666321887862;0.3333333333333333;0.09956245106093345;0.18518518518518517;0.7536974563793281;1.0;1.027253325734171e-15;0.09287749287749288;0.315853195989059;0.07407407407407407;-0.474306111537497;0.25;1.6456366270518574;0.06803981567937863;1.045178416211196;0.12103598717215869;5.96379249338466;0.0015910264164376848;0.537568131441327;0.19898976774380323;28.1325135803455;0.001
9;26;20343.0;0.06575498575498576;0.0005815108688213972;0.10323886639676114;0.987247754362891;0.2962962962962963;0.18855666321887862;0.4444444444444444;0.00889018684023524;0.37037037037037035;0.04843826268679447;0.2962962962962963;0.18855666321887862;1.0;1.027253325734171e-15;0.06575498575498576;0.3942499927705011;0.07407407407407407;-1.2085327017358414;0.25;3.040493576506071;0.018778502527395536;2.5321164706292136;0.029776427703676556;7.823443418365971;0.001;1.9785555848000345;0.04971926363210942;28.95457462471338;0.001
10;26;20665.0;0.1206837606837607;0.00027372052717044264;0.13360323886639677;0.9036173041588071;0.14814814814814814;0.9356622290518453;0.7407407407407407;1.8192713924938412e-07;0.2222222222222222;0.5256377612776422;0.14814814814814814;0.9356622290518453;1.0;1.027253325734171e-15;0.1206837606837607;0.25948409218443386;0.07407407407407408;-0.5981544251456011;0.25;-0.19617552675032932;0.25;15.28806042875552;0.001;2.229053354335552;0.039370416398732885;-0.7187650964700296;0.25;27.45764272242903;0.001
11;26;18635.0;0.07829059829059828;0.0005447952294717157;0.16194331983805668;0.7429012613335237;0.2222222222222222;0.5256377612776422;0.2962962962962963;0.18855666321887862;0.3333333333333333;0.09956245106093345;0.2222222222222222;0.5256377612776422;1.0;1.027253325734171e-15;0.07829059829059828;0.35341846040751285;0.07407407407407407;-0.4198717914628115;0.25;0.8197519720096598;0.15076438926890712;0.242027013842176;0.25;5.2360645006992685;0.0028569979249055888;0.026838748770452933;0.25;28.282595703553405;0.001
12;26;22159.0;0.08672364672364673;0.00035154496098141426;0.2611336032388664;0.19870921640109085;0.2962962962962963;0.18855666321887862;0.2962962962962963;0.18855666321887862;0.37037037037037035;0.04843826268679447;0.2222222222222222;0.5256377612776422;1.0;1.027253325734171e-15;0.08672364672364673;0.3286342882114703;0.07407407407407407;0.5058361783710579;0.20533522298554402;2.6393197554558667;0.02699686629233672;0.9503492403241638;0.13272157429469897;5.753942242118006;0.0018798789563126118;1.2422334332136509;0.1000444443957511;27.796838442495364;0.001
13;26;19034.0;0.08831908831908832;0.0003959928220368079;0.11133603238866396;0.9747475804948765;0.2222222222222222;0.5256377612776422;0.3333333333333333;0.09956245106093345;0.3333333333333333;0.09956245106093345;0.2222222222222222;0.5256377612776422;1.0;1.027253325734171e-15;0.08831908831908832;0.32443417354617266;0.07407407407407408;-1.146065810550722;0.25;0.8946093931227744;0.14013138570158004;1.3788550461072624;0.08774068308065176;4.655743877930524;0.004620030706049767;0.13431901972563176;0.25;27.55045950562651;0.001
14;26;24600.0;0.10723646723646724;0.00032567873171542516;0.12550607287449392;0.9346756430875091;0.2222222222222222;0.5256377612776422;0.48148148148148145;0.00333382007458774;0.2962962962962963;0.18855666321887862;0.14814814814814814;0.9356622290518453;1.0;1.027253325734171e-15;0.10723646723646724;0.28323831573985037;0.07407407407407408;-0.8063583536502719;0.25;0.8784729707083356;0.14235571381538373;8.506087125380487;0.001;3.6468148359318366;0.01097028845551623;-0.01859062735662939;0.25;27.539892887374783;0.001
15;26;16291.0;0.09424501424501425;0.0005588072906980834;0.13360323886639677;0.9036173041588071;0.3333333333333333;0.09956245106093345;0.37037037037037035;0.04843826268679447;0.4074074074074074;0.02166982723648196;0.25925925925925924;0.3290078898658627;1.0;1.027253325734171e-15;0.09424501424501425;0.30724086504367765;0.07407407407407407;-0.7097887058685907;0.25;4.062550414082883;0.007647362775937268;3.778666578947531;0.009777376671008997;6.900443245648185;0.001;2.3511187044763364;0.035167394092197615;28.02628600148075;0.001
16;26;29551.0;0.08512820512820513;0.00036491030422793313;0.18218623481781376;0.606756292348466;0.25925925925925924;0.3290078898658627;0.37037037037037035;0.04843826268679447;0.3333333333333333;0.09956245106093345;0.18518518518518517;0.7536974563793281;1.0;1.027253325734171e-15;0.08512820512820513;0.3329346742411933;0.07407407407407407;0.28310220296219624;0.25;1.5831292309002927;0.07220013419579926;1.2511636096595755;0.09918790659346949;4.906098523847713;0.0037492307511655127;0.42801829386224477;0.22180075301955945;27.70667130966784;0.001
17;26;17806.0;0.11954415954415953;0.0004792647033171982;0.11538461538461539;0.9647920604955253;0.14814814814814814;0.9356622290518453;0.7037037037037037;1.0688219430901316e-06;0.2962962962962963;0.18855666321887862;0.1111111111111111;0.9973888598742788;1.0;1.027253325734171e-15;0.11954415954415953;0.26157138218329395;0.07407407407407408;-1.039662971530343;0.25;-0.1946959285692672;0.25;14.936657185909047;0.001;2.637188756062391;0.027049396717297884;-0.7474134247196678;0.25;27.570081964935458;0.001
18;26;17968.0;0.0652991452991453;0.0007381745522967719;0.16396761133603238;0.7268245928748815;0.4074074074074074;0.02166982723648196;0.48148148148148145;0.00333382007458774;0.48148148148148145;0.00333382007458774;0.3333333333333333;0.09956245106093345;1.0;1.027253325734171e-15;0.0652991452991453;0.3911121752313255;0.07407407407407407;-0.7359421159751666;0.25;7.759085049675007;0.001;2.2751064618072503;0.03772630347192466;12.071588147473015;0.001;5.661097434965569;0.0020249178987898483;29.591945051623178;0.001
19;26;20303.0;0.07897435897435896;0.0004751877292777841;0.1680161943319838;0.6966586118226656;0.3333333333333333;0.09956245106093345;0.2962962962962963;0.18855666321887862;0.4074074074074074;0.02166982723648196;0.25925925925925924;0.3290078898658627;1.0;1.027253325734171e-15;0.07897435897435896;0.3483187645211941;0.07407407407407407;-0.7216485694173113;0.25;4.099425981579655;0.007408730808404921;0.12320459842326568;0.25;7.940318355234082;0.001;2.4387556998984454;0.032440265713244536;28.429967675459874;0.001
20;26;22282.0;0.05846153846153846;0.0004895922287402432;0.2145748987854251;0.40745264744222454;0.3333333333333333;0.09956245106093345;0.6296296296296297;2.4582904691073025e-05;0.4074074074074074;0.02166982723648196;0.2962962962962963;0.18855666321887862;1.0;1.027253325734171e-15;0.05846153846153846;0.42189444842457136;0.07407407407407408;-0.684939920501246;0.25;4.540492038918936;0.005090181378349223;10.099566938921155;0.001;9.54474590027326;0.001;3.1721603826960227;0.016690652100229478;29.705833438533954;0.001
