i;Links;Weights;BCW;CCW;Stat_Weights;p-value_Weights;Stat_BC;p-value_BC;Stat_CC;p-value_CC;Stat_DC;p-value_DC;Stat_BCW;p-value_BCW;Stat_CCW;p-value_CCW;BC;CC;DC;AD_Weights;p-value_Weights;AD_BC;p-value_BC;AD_CC;p-value_CC;AD_DC;p-value_DC;AD_BCW;p-value_BCW;AD_CCW;p-value_CCW
0;27;2154.0;0.09940984940984941;0.003417581844104257;0.1925925925925926;0.5920268718004182;0.10714285714285714;0.9980060384494495;0.7857142857142857;8.489933164971264e-09;0.07142857142857142;0.9999999649043908;0.07142857142857142;0.9999999649043908;1.0;2.6148266473233464e-16;0.09940984940984941;0.28783989796587633;0.07142857142857141;0.7948072264198075;0.1544909182965319;-1.1830732590805555;0.25;16.175124036339362;0.001;-1.2451199556756787;0.25;-1.207487918137947;0.25;28.950659470139726;0.001
1;27;1632.0;0.10683760683760683;0.004929561452715017;0.15925925925925927;0.7990710963126959;0.17857142857142858;0.7731666610790539;0.75;6.064237974979474e-08;0.10714285714285714;0.9980060384494495;0.10714285714285714;0.9980060384494495;1.0;2.6148266473233464e-16;0.10683760683760683;0.2760712553735767;0.07142857142857141;-0.7278621026735635;0.25;-0.7024608744900599;0.25;16.32896624136572;0.001;-0.8746849726986626;0.25;-0.9336866246668806;0.25;28.57089576218445;0.001
2;27;1662.0;0.09422059422059423;0.005167695100980916;0.14444444444444443;0.8777850412338404;0.14285714285714285;0.9440858097815165;0.5357142857142857;0.0004941794173795195;0.07142857142857142;0.9999999649043908;0.07142857142857142;0.9999999649043908;1.0;2.6148266473233464e-16;0.09422059422059423;0.30362136915365295;0.07142857142857141;-0.7444475367022715;0.25;-1.0710158209255738;0.25;9.310169788505382;0.001;-1.2409984829924592;0.25;-1.2280632184167666;0.25;28.686321228283784;0.001
3;27;1645.0;0.09574684574684576;0.004802561101610625;0.13333333333333333;0.9209003483850291;0.21428571428571427;0.549366998032041;0.6071428571428571;3.8935348035962143e-05;0.10714285714285714;0.9980060384494495;0.14285714285714285;0.9440858097815165;1.0;2.6148266473233464e-16;0.09574684574684576;0.29976449489071566;0.07142857142857141;-0.5303182481663065;0.25;-0.17297644550106772;0.25;10.474783980144819;0.001;-0.5950823206073105;0.25;-0.4573146834988688;0.25;29.027856280220742;0.001
4;27;1956.0;0.10632885632885633;0.003742441386403029;0.1037037037037037;0.9903795332353613;0.17857142857142858;0.7731666610790539;0.8214285714285714;9.988156664672076e-10;0.10714285714285714;0.9980060384494495;0.10714285714285714;0.9980060384494495;1.0;2.6148266473233464e-16;0.10632885632885633;0.2753476337512434;0.07142857142857141;-0.9768056346354334;0.25;-0.7773761222107479;0.25;17.302376547563544;0.001;-0.8564685913262796;0.25;-0.8319318640375893;0.25;28.677389243236156;0.001
5;27;2031.0;0.08648758648758649;0.0032165917951185634;0.15925925925925927;0.7990710963126959;0.10714285714285714;0.9980060384494495;0.42857142857142855;0.010890478814461192;0.03571428571428571;0.9999999999999999;0.10714285714285714;0.9980060384494495;1.0;2.6148266473233464e-16;0.08648758648758649;0.3201726848442973;0.07142857142857141;-0.60098959612759;0.25;-1.2037466912831345;0.25;6.792135900116522;0.001;-1.2854794443441349;0.25;-1.1990725095746524;0.25;28.868712204748526;0.001
6;27;1907.0;0.08719983719983722;0.004167860391001407;0.11851851851851852;0.9707006109125235;0.10714285714285714;0.9980060384494495;0.5357142857142857;0.0004941794173795195;0.03571428571428571;0.9999999999999999;0.07142857142857142;0.9999999649043908;1.0;2.6148266473233464e-16;0.08719983719983722;0.3196283176115841;0.07142857142857141;-0.9266837146465079;0.25;-1.2521518972692784;0.25;4.904074300413121;0.003755532868966461;-1.3289466718631449;0.25;-1.2939157532659114;0.25;29.071987146676623;0.001
7;27;2203.0;0.10002035002035002;0.004003108861294695;0.07777777777777778;0.9998880649392742;0.21428571428571427;0.549366998032041;0.6428571428571429;9.310626704251817e-06;0.10714285714285714;0.9980060384494495;0.14285714285714285;0.9440858097815165;1.0;2.6148266473233464e-16;0.10002035002035002;0.28990245456214575;0.07142857142857142;-1.1719526443422477;0.25;-0.2650625709534259;0.25;12.521136979543261;0.001;-0.5956921628183589;0.25;-0.6022966766579516;0.25;28.503903715320273;0.001
8;27;2121.0;0.12098087098087099;0.0037862490799385642;0.13703703703703704;0.9039704616170103;0.17857142857142858;0.7731666610790539;0.8571428571428571;9.603996792953918e-11;0.07142857142857142;0.9999999649043908;0.10714285714285714;0.9980060384494495;1.0;2.6148266473233464e-16;0.12098087098087099;0.2504876908451455;0.07142857142857141;-1.0322898449161308;0.25;-0.8926021172299603;0.25;21.491753075438023;0.001;-1.1543111248771334;0.25;-1.0116787803457914;0.25;28.745108508596296;0.001
9;27;1967.0;0.10622710622710622;0.0035163302554391566;0.10740740740740741;0.9873376436264708;0.17857142857142858;0.7731666610790539;0.75;6.064237974979474e-08;0.07142857142857142;0.9999999649043908;0.10714285714285714;0.9980060384494495;1.0;2.6148266473233464e-16;0.10622710622710622;0.2770937370334066;0.07142857142857141;-0.8046340267117533;0.25;-0.8843184565511762;0.25;17.10769616240124;0.001;-1.1565836530773341;0.25;-1.1118067141664711;0.25;28.713526655017624;0.001
10;27;1649.0;0.07285307285307285;0.005953431702019563;0.1;0.9939829423789934;0.10714285714285714;0.9980060384494495;0.2857142857142857;0.20527832022526032;0.10714285714285714;0.9980060384494495;0.14285714285714285;0.9440858097815165;1.0;2.6148266473233464e-16;0.07285307285307285;0.35890953098391865;0.07142857142857141;-0.9209509500654932;0.25;-1.2810388372594959;0.25;0.6159861740764465;0.18416580045753175;-1.187375402701945;0.25;-1.1700594656042096;0.25;29.124781436511842;0.001
11;27;2226.0;0.08770858770858772;0.00468493854495148;0.12962962962962962;0.9362977894417228;0.14285714285714285;0.9440858097815165;0.5;0.0015178367819511198;0.07142857142857142;0.9999999649043908;0.07142857142857142;0.9999999649043908;1.0;2.6148266473233464e-16;0.08770858770858772;0.31863841364317036;0.07142857142857142;-0.6121150982548439;0.25;-1.0402686203688936;0.25;3.8959172926629617;0.00883067533076285;-1.2214994255909102;0.25;-1.204106116963522;0.25;28.932019518319507;0.001
12;27;2253.0;0.07844932844932846;0.004186553699087109;0.12962962962962962;0.9362977894417228;0.14285714285714285;0.9440858097815165;0.5;0.0015178367819511198;0.07142857142857142;0.9999999649043908;0.14285714285714285;0.9440858097815165;1.0;2.6148266473233464e-16;0.07844932844932846;0.3427330371324442;0.07142857142857141;-0.64309583916913;0.25;-1.0414635705961315;0.25;3.406610839050761;0.013552056361560476;-1.217617013289535;0.25;-0.9943565719031977;0.25;29.021257620938098;0.001
13;27;1679.0;0.09432234432234433;0.005181029205670429;0.08888888888888889;0.9987772131366849;0.14285714285714285;0.9440858097815165;0.5357142857142857;0.0004941794173795195;0.07142857142857142;0.9999999649043908;0.10714285714285714;0.9980060384494495;1.0;2.6148266473233464e-16;0.09432234432234433;0.3038354639880771;0.07142857142857141;-1.0176578910280683;0.25;-0.9685680178626109;0.25;8.308611189182;0.001;-1.217617013289535;0.25;-1.147757289996;0.25;29.010241799722234;0.001
