i;Links;Weights;BCW;CCW;Stat_Weights;p-value_Weights;Stat_BC;p-value_BC;Stat_CC;p-value_CC;Stat_DC;p-value_DC;Stat_BCW;p-value_BCW;Stat_CCW;p-value_CCW;BC;CC;DC;AD_Weights;p-value_Weights;AD_BC;p-value_BC;AD_CC;p-value_CC;AD_DC;p-value_DC;AD_BCW;p-value_BCW;AD_CCW;p-value_CCW
0;97;1698.0;0.034529914529914524;0.5401104992986095;0.057327295500529916;0.9908151896555628;0.7407407407407407;1.8192713924938412e-07;0.9259259259259259;1.4699995091255986e-12;0.5185185185185185;0.0011383775864635356;0.7407407407407407;1.8192713924938412e-07;1.0;1.027253325734171e-15;0.031566951566951565;0.5621053528954488;0.2763532763532764;-0.02708536017476271;0.25;20.333845566175125;0.001;28.180983331786443;0.001;10.659280832238544;0.001;20.56599204673063;0.001;30.93654606046211;0.001
1;113;1375.0;0.030883190883190886;0.5694086799985851;0.016210404433049375;1.0;0.7407407407407407;1.8192713924938412e-07;0.9629629629629629;5.547167958964523e-14;0.48148148148148145;0.00333382007458774;0.7407407407407407;1.8192713924938412e-07;1.0;1.027253325734171e-15;0.028945868945868942;0.5848743504172013;0.321937321937322;-1.2763679124196439;0.25;20.26207648113283;0.001;28.82178485497771;0.001;7.836385344113832;0.001;20.56599204673063;0.001;30.941528558224068;0.001
2;103;777.0;0.03293447293447293;0.5509393156169989;0.017239814898829506;1.0;0.7407407407407407;1.8192713924938412e-07;0.9629629629629629;5.547167958964523e-14;0.5185185185185185;0.0011383775864635356;0.7407407407407407;1.8192713924938412e-07;1.0;1.027253325734171e-15;0.030085470085470085;0.5727071568439387;0.2934472934472934;-1.2633810720346184;0.25;20.388509497814738;0.001;28.71555423477347;0.001;10.800446351373212;0.001;20.56599204673063;0.001;31.122737950569196;0.001
3;101;937.0;0.03339031339031339;0.5480614467035619;0.023688350143425557;0.9999999999997223;0.7407407407407407;1.8192713924938412e-07;0.9629629629629629;5.547167958964523e-14;0.5185185185185185;0.0011383775864635356;0.7407407407407407;1.8192713924938412e-07;1.0;1.027253325734171e-15;0.031452991452991456;0.5623633512951925;0.28774928774928776;-1.1069084159766027;0.25;20.388509497814738;0.001;28.06506694521455;0.001;10.791957411316227;0.001;20.56599204673063;0.001;30.8358327650252;0.001
4;99;910.0;0.03487179487179487;0.5417665854880865;0.017936373076559993;1.0;0.7407407407407407;1.8192713924938412e-07;0.9259259259259259;1.4699995091255986e-12;0.48148148148148145;0.00333382007458774;0.7407407407407407;1.8192713924938412e-07;1.0;1.027253325734171e-15;0.03190883190883191;0.5618719745049666;0.28205128205128205;-1.2901728784970252;0.25;20.26207648113283;0.001;25.345092218726613;0.001;7.658469350481385;0.001;20.56599204673063;0.001;31.18371798084225;0.001
5;101;951.0;0.034415954415954415;0.5435821384899499;0.026371796058110485;0.9999999999513778;0.7037037037037037;1.0688219430901316e-06;0.8888888888888888;2.5479991491510378e-11;0.48148148148148145;0.00333382007458774;0.7037037037037037;1.0688219430901316e-06;1.0;1.027253325734171e-15;0.032364672364672366;0.559079340196248;0.28774928774928776;-1.294456980892465;0.25;18.344153778648682;0.001;25.38319037408271;0.001;7.214103088655716;0.001;18.511953661139156;0.001;30.745199140919222;0.001
6;103;1076.0;0.03407407407407407;0.5439229689496785;0.03202976136466745;0.9999998923962531;0.7407407407407407;1.8192713924938412e-07;0.9259259259259259;1.4699995091255986e-12;0.4444444444444444;0.00889018684023524;0.7407407407407407;1.8192713924938412e-07;1.0;1.027253325734171e-15;0.03133903133903134;0.5647671515171692;0.2934472934472934;-0.49840385919236946;0.25;20.333845566175125;0.001;27.872640337513584;0.001;9.064568754024698;0.001;20.464033724576307;0.001;30.734631998105055;0.001
7;109;372.0;0.03111111111111111;0.5665473167854087;0.0472434193603704;0.9989538717022594;0.7407407407407407;1.8192713924938412e-07;0.9259259259259259;1.4699995091255986e-12;0.5185185185185185;0.0011383775864635356;0.7407407407407407;1.8192713924938412e-07;1.0;1.027253325734171e-15;0.030313390313390313;0.5732576621034086;0.31054131054131057;1.9081644198919097;0.053110989652770293;20.272969899464112;0.001;25.9423792141185;0.001;10.546288901587241;0.001;20.56599204673063;0.001;30.833906561006042;0.001
8;97;1300.0;0.03487179487179487;0.5388422369139849;0.023509008575007227;0.9999999999999309;0.7407407407407407;1.8192713924938412e-07;0.9259259259259259;1.4699995091255986e-12;0.5185185185185185;0.0011383775864635356;0.7407407407407407;1.8192713924938412e-07;1.0;1.027253325734171e-15;0.032706552706552705;0.5549477451694934;0.27635327635327633;-1.0182966287132453;0.25;20.26207648113283;0.001;25.46236472616291;0.001;10.405475351987537;0.001;20.56599204673063;0.001;30.64452494381556;0.001
9;89;969.0;0.03726495726495726;0.5212043442747047;0.03570303475795442;0.9999991471025814;0.7407407407407407;1.8192713924938412e-07;0.9629629629629629;5.547167958964523e-14;0.5185185185185185;0.0011383775864635356;0.7407407407407407;1.8192713924938412e-07;1.0;1.027253325734171e-15;0.034074074074074076;0.5431107565191894;0.25356125356125364;-0.7810732282795391;0.25;20.333845566175125;0.001;27.74578320062356;0.001;10.584426400736012;0.001;20.464033724576307;0.001;30.960857212525625;0.001
