i;Links;Weights;BCW;CCW;Stat_Weights;p-value_Weights;Stat_BC;p-value_BC;Stat_CC;p-value_CC;Stat_DC;p-value_DC;Stat_BCW;p-value_BCW;Stat_CCW;p-value_CCW;BC;CC;DC;AD_Weights;p-value_Weights;AD_BC;p-value_BC;AD_CC;p-value_CC;AD_DC;p-value_DC;AD_BCW;p-value_BCW;AD_CCW;p-value_CCW
0;78;75524.0;0.06094208211143695;0.0007502087053342687;0.09926739926739926;0.8131543625119158;0.15151515151515152;0.851010941578351;0.36363636363636365;0.024674332703421464;0.15151515151515152;0.851010941578351;0.15151515151515152;0.851010941578351;1.0;2.7703024114436334e-19;0.04472140762463343;0.4287847575313457;0.14772727272727273;-0.784708715971013;0.25;-0.5268164874179252;0.25;3.799853747182861;0.009598739316348814;-0.15141785418303574;0.25;-0.7802232530103557;0.25;33.434362082469065;0.001
1;72;71151.0;0.08217253176930596;0.0008102892698923417;0.07976190476190476;0.9560062032916592;0.21212121212121213;0.45349473522704375;0.2727272727272727;0.1729142542609664;0.18181818181818182;0.6543432845812748;0.21212121212121213;0.45349473522704375;1.0;2.7703024114436334e-19;0.04942570869990225;0.4028968771151765;0.13636363636363635;-0.8520595120905844;0.25;-0.23771780377873417;0.25;0.8692907557327105;0.14363777166838052;-0.2807040360887229;0.25;-0.44748058138681446;0.25;33.491917569708704;0.001
2;80;72184.0;0.07612414467253177;0.0008882791189447488;0.075;0.9720756062759958;0.21212121212121213;0.45349473522704375;0.3939393939393939;0.011264373743090028;0.21212121212121213;0.45349473522704375;0.12121212121212122;0.9725172787255439;1.0;2.7703024114436334e-19;0.0438049853372434;0.43126054583131374;0.15151515151515152;-0.9264920888721762;0.25;0.24171954528349404;0.25;5.90958211236431;0.0016608380271447964;0.512800823976845;0.20392474777969205;-0.9736993194503987;0.25;33.5541063391049;0.001
3;64;57758.0;0.1031891495601173;0.0008780901507694151;0.10714285714285714;0.7858518875283579;0.15151515151515152;0.851010941578351;0.12121212121212122;0.9725172787255439;0.18181818181818182;0.6543432845812748;0.18181818181818182;0.6543432845812748;1.0;2.7703024114436334e-19;0.055413000977517106;0.38155487218013584;0.12121212121212122;-0.44390378893320487;0.25;-0.8964159912082301;0.25;-0.9645509721101069;0.25;0.42346721789637776;0.22280511482840265;0.09539349537040773;0.25;33.49806691714574;0.001
4;60;56994.0;0.08253910068426197;0.0005911306714437676;0.04523809523809524;0.9999977939838665;0.18181818181818182;0.6543432845812748;0.21212121212121213;0.45349473522704375;0.21212121212121213;0.45349473522704375;0.18181818181818182;0.6543432845812748;1.0;2.7703024114436334e-19;0.05975073313782991;0.3627885535880234;0.11363636363636363;-1.2148104857285278;0.25;-0.2496582119050656;0.25;0.5127555418267666;0.2039338857622508;1.597271174822185;0.07123627133270061;0.4740428154070985;0.21190368464936274;33.49650005054567;0.001
5;59;66172.0;0.07636852394916911;0.0005313965632927621;0.1261501210653753;0.6285207445792828;0.2727272727272727;0.1729142542609664;0.21212121212121213;0.45349473522704375;0.18181818181818182;0.6543432845812748;0.15151515151515152;0.851010941578351;1.0;2.7703024114436334e-19;0.054924242424242424;0.37628411382194626;0.11174242424242424;-0.015542123000687781;0.25;0.7196574804042032;0.16630644299450492;0.40231796704029177;0.2275347277988266;0.4570950368071552;0.2154937432195438;-1.0484210026995306;0.25;33.57637004971249;0.001
6;74;67555.0;0.07282502443792765;0.0007412291519342533;0.1250965250965251;0.568495361040113;0.24242424242424243;0.28992386608240617;0.3939393939393939;0.011264373743090028;0.21212121212121213;0.45349473522704375;0.15151515151515152;0.851010941578351;1.0;2.7703024114436334e-19;0.04441593352883676;0.4258863225166887;0.14015151515151514;-0.2926562873622069;0.25;0.8301307598769486;0.14924149009244214;4.900095438834836;0.0037679529913953558;1.1328569717383954;0.11118142235134303;-0.9000770509536469;0.25;33.562858169568145;0.001
7;76;71353.0;0.08718230694037145;0.001010525059126106;0.08383458646616541;0.9335892347941811;0.21212121212121213;0.45349473522704375;0.3939393939393939;0.011264373743090028;0.21212121212121213;0.45349473522704375;0.21212121212121213;0.45349473522704375;1.0;2.7703024114436334e-19;0.04447702834799609;0.4299241863018945;0.14393939393939395;-0.9551120592879088;0.25;-0.0011357978608122503;0.25;4.474485678699848;0.005381860482696108;0.1156277139281118;0.25;-0.01990200861762474;0.25;33.52971288708778;0.001
8;70;54282.0;0.07844574780058651;0.0008190614166969438;0.12857142857142856;0.6128393375484678;0.2727272727272727;0.1729142542609664;0.30303030303030304;0.09654611183078916;0.24242424242424243;0.28992386608240617;0.18181818181818182;0.6543432845812748;1.0;2.7703024114436334e-19;0.0481427174975562;0.40797401136273614;0.13257575757575757;-0.3695697583973097;0.25;1.4834682739574279;0.07938909580317018;2.007593355304761;0.048386566022300605;0.8913028980738432;0.14058421246720806;-0.137190292564993;0.25;33.56916417276585;0.001
9;71;64921.0;0.0683651026392962;0.0006643705871042092;0.08953722334004025;0.9063649798857628;0.21212121212121213;0.45349473522704375;0.2727272727272727;0.1729142542609664;0.12121212121212122;0.9725172787255439;0.21212121212121213;0.45349473522704375;1.0;2.7703024114436334e-19;0.048020527859237536;0.4095757415736374;0.13446969696969696;-0.5384923524682339;0.25;0.05158565541750037;0.25;1.0456692993987644;0.12097835827718587;-0.27824350499879064;0.25;-0.254020982885518;0.25;33.44172359959868;0.001
10;83;71113.0;0.06668499511241446;0.0008755228849974281;0.040791738382099825;0.9999985119570927;0.15151515151515152;0.851010941578351;0.3939393939393939;0.011264373743090028;0.24242424242424243;0.28992386608240617;0.18181818181818182;0.6543432845812748;1.0;2.7703024114436334e-19;0.04380498533724341;0.43653719931799617;0.1571969696969697;-1.176336566265182;0.25;-0.5292212835104408;0.25;5.839953640272057;0.0017552928063140382;0.3493312319033979;0.239846881711734;-0.6450203258309221;0.25;33.40596859575206;0.001
11;69;65804.0;0.07184750733137829;0.0007316434313544986;0.06935817805383022;0.9883029201155398;0.21212121212121213;0.45349473522704375;0.18181818181818182;0.6543432845812748;0.12121212121212122;0.9725172787255439;0.15151515151515152;0.851010941578351;1.0;2.7703024114436334e-19;0.0502199413489736;0.4007130459788357;0.13068181818181818;-1.0266890096482981;0.25;-0.4856355433905806;0.25;-0.2349696686773868;0.25;-0.5127376810833709;0.25;-0.07781182981563553;0.25;33.453746980711;0.001
