i;Links;Weights;BCW;CCW;Stat_Weights;p-value_Weights;Stat_BC;p-value_BC;Stat_CC;p-value_CC;Stat_DC;p-value_DC;Stat_BCW;p-value_BCW;Stat_CCW;p-value_CCW;BC;CC;DC;AD_Weights;p-value_Weights;AD_BC;p-value_BC;AD_CC;p-value_CC;AD_DC;p-value_DC;AD_BCW;p-value_BCW;AD_CCW;p-value_CCW
0;39;25965.0;0.08945868945868946;0.0006834199055942194;0.1106612685560054;0.9432682869467008;0.2222222222222222;0.5256377612776422;0.18518518518518517;0.7536974563793281;0.1111111111111111;0.9973888598742788;0.2222222222222222;0.5256377612776422;1.0;1.027253325734171e-15;0.0782905982905983;0.3487627416769599;0.11111111111111113;-1.0211727784384212;0.25;-0.08115258414763633;0.25;-0.4426145229122301;0.25;-0.7336997194984106;0.25;0.3867690079755953;0.23107826642012685;27.533299645217454;0.001
1;50;34112.0;0.08182336182336182;0.0009672618568583687;0.16;0.5714803334766131;0.37037037037037035;0.04843826268679447;0.48148148148148145;0.00333382007458774;0.3333333333333333;0.09956245106093345;0.14814814814814814;0.9356622290518453;1.0;1.027253325734171e-15;0.062108262108262126;0.3986990791153076;0.14245014245014245;-0.34664047262388853;0.25;3.5557538690480692;0.011882479664936902;5.781305475685558;0.001839259652641165;4.586180677404022;0.0048980506634942605;-0.5532710390480885;0.25;27.55620823198221;0.001
2;38;28352.0;0.11145299145299147;0.0005042761104900127;0.13157894736842105;0.9032533298136647;0.3333333333333333;0.09956245106093345;0.2222222222222222;0.5256377612776422;0.18518518518518517;0.7536974563793281;0.3333333333333333;0.09956245106093345;1.0;1.027253325734171e-15;0.08660968660968661;0.32709306916277336;0.10826210826210828;-0.6193360799522744;0.25;2.0276766500605796;0.04748664452389049;0.5091166880152235;0.2046696001594212;0.47575003208305106;0.21154549903114767;2.93248366810359;0.02069455991977281;27.28725510887027;0.001
3;35;24504.0;0.10313390313390312;0.00047411019078601424;0.15789473684210525;0.6685892752952143;0.25925925925925924;0.3290078898658627;0.37037037037037035;0.04843826268679447;0.14814814814814814;0.9356622290518453;0.2222222222222222;0.5256377612776422;1.0;1.027253325734171e-15;0.09663817663817664;0.30436911646983794;0.09971509971509972;0.18473141679451652;0.25;0.5647796856214746;0.19371032521105117;4.202919635423472;0.006779820488375428;-0.629279086425239;0.25;0.4677479320107126;0.21322983801772608;27.246552719513417;0.001
4;41;24440.0;0.09641025641025641;0.0006800006835743381;0.16944801026957637;0.5433827736103203;0.2222222222222222;0.5256377612776422;0.1111111111111111;0.9973888598742788;0.14814814814814814;0.9356622290518453;0.18518518518518517;0.7536974563793281;1.0;1.027253325734171e-15;0.07954415954415957;0.3441108396092857;0.11680911680911682;-0.32983742393110044;0.25;0.3009284276043864;0.25;-0.8995345875619749;0.25;-0.16638488304092142;0.25;0.08508597453713479;0.25;27.351500222595877;0.001
5;32;20434.0;0.13435897435897437;0.00041104503828134133;0.17105263157894737;0.6138259311929687;0.25925925925925924;0.3290078898658627;0.6296296296296297;2.4582904691073025e-05;0.14814814814814814;0.9356622290518453;0.2222222222222222;0.5256377612776422;1.0;1.027253325734171e-15;0.12148148148148151;0.2605383952734797;0.09116809116809119;-0.48934539258141735;0.25;0.7403750870187198;0.16295833427666537;13.020217141807214;0.001;-0.4235083338648895;0.25;0.5589499653412914;0.19482901675340739;27.4756531166336;0.001
6;34;28597.0;0.1313960113960114;0.0004317147482893586;0.12848297213622292;0.8780348817752773;0.25925925925925924;0.3290078898658627;0.48148148148148145;0.00333382007458774;0.14814814814814814;0.9356622290518453;0.18518518518518517;0.7536974563793281;1.0;1.027253325734171e-15;0.10883190883190882;0.2786870482092049;0.09686609686609687;-0.8251752219773408;0.25;0.15997329355203774;0.25;8.714923276893334;0.001;-0.556169059006778;0.25;0.35851108270459325;0.237665353525743;27.351621645532;0.001
7;46;33366.0;0.09777777777777778;0.0007618098231403033;0.05148741418764302;0.9999995276033619;0.48148148148148145;0.00333382007458774;0.37037037037037035;0.04843826268679447;0.2962962962962963;0.18855666321887862;0.25925925925925924;0.3290078898658627;1.0;1.027253325734171e-15;0.07578347578347579;0.35582746362527284;0.13105413105413108;-1.2083564570215526;0.25;6.462022465485356;0.0010775753684735035;0.6714718857725448;0.17437257807539802;3.8231432732408854;0.009406316827292496;1.1099037522725252;0.11367784606170321;27.343756106653473;0.001
8;38;33207.0;0.09481481481481478;0.00043728716562867307;0.21052631578947367;0.37272752790955144;0.37037037037037035;0.04843826268679447;0.2222222222222222;0.5256377612776422;0.18518518518518517;0.7536974563793281;0.2962962962962963;0.18855666321887862;1.0;1.027253325734171e-15;0.08148148148148147;0.3369672078000646;0.10826210826210828;0.1945989558066824;0.25;1.9505047005826661;0.051043000527353846;-0.09839098061765196;0.25;0.5076319735578018;0.20497057442669236;1.8471648923295343;0.05624496435828652;27.299606295702336;0.001
9;31;24516.0;0.11851851851851851;0.0005496895120633341;0.133276740237691;0.8691288537547507;0.25925925925925924;0.3290078898658627;0.48148148148148145;0.00333382007458774;0.14814814814814814;0.9356622290518453;0.14814814814814814;0.9356622290518453;1.0;1.027253325734171e-15;0.10142450142450142;0.29527527754942906;0.08831908831908832;-0.7750996132323942;0.25;-0.497062326244613;0.25;6.370483992762249;0.0011567661240796299;-0.4380542793043131;0.25;-0.7338593474348309;0.25;27.429587559169164;0.001
