i;Links;Weights;BCW;CCW;Stat_Weights;p-value_Weights;Stat_BC;p-value_BC;Stat_CC;p-value_CC;Stat_DC;p-value_DC;Stat_BCW;p-value_BCW;Stat_CCW;p-value_CCW;BC;CC;DC;AD_Weights;p-value_Weights;AD_BC;p-value_BC;AD_CC;p-value_CC;AD_DC;p-value_DC;AD_BCW;p-value_BCW;AD_CCW;p-value_CCW
0;31;2289.0;0.1277981277981278;0.0033139612160477164;0.1827956989247312;0.5966396303003156;0.42857142857142855;0.010890478814461192;0.8571428571428571;9.603996792953918e-11;0.35714285714285715;0.05551971712876329;0.35714285714285715;0.05551971712876329;1.0;2.6148266473233464e-16;0.1277981277981278;0.24084680827074265;0.082010582010582;-0.13446652456240415;0.25;6.5518026606489075;0.001;25.84788068938802;0.001;5.466610758084434;0.0023684403011506846;5.149010698377741;0.0030681941949691834;28.311375298409157;0.001
1;27;1671.0;0.17328042328042328;0.003263378505249465;0.15185185185185185;0.844970872033153;0.42857142857142855;0.010890478814461192;0.9285714285714286;4.0268330368779533e-13;0.32142857142857145;0.11103086649998889;0.35714285714285715;0.05551971712876329;1.0;2.6148266473233464e-16;0.17328042328042328;0.19089274470094073;0.07142857142857142;-0.8198218875941435;0.25;5.652883985647449;0.002038306024569017;29.188015604335792;0.001;3.730618318350507;0.01019552325325957;4.558317232166083;0.005014296558139725;28.345113045570425;0.001
2;42;2573.0;0.082010582010582;0.006600895048859321;0.11428571428571428;0.953950928543003;0.4642857142857143;0.004249942989061184;0.2857142857142857;0.20527832022526032;0.4642857142857143;0.004249942989061184;0.39285714285714285;0.025624647770069564;1.0;2.6148266473233464e-16;0.07560032560032562;0.3491793485843525;0.11111111111111109;-0.567098818632748;0.25;8.830380413669975;0.001;0.8137216744282043;0.15165662680356348;10.47731328914517;0.001;5.531579366132218;0.002247305122452264;28.26916537031546;0.001
3;30;2262.0;0.17948717948717952;0.0028252996197767086;0.13333333333333333;0.9578462903438838;0.5;0.0015178367819511198;1.0;2.6148266473233464e-16;0.4642857142857143;0.004249942989061184;0.39285714285714285;0.025624647770069564;1.0;2.6148266473233464e-16;0.17806267806267811;0.18390747478179903;0.07936507936507937;-0.7906212858017967;0.25;10.420821721835393;0.001;29.929478454618465;0.001;8.473639956188581;0.001;6.68828854301377;0.001;28.382398557772426;0.001
4;29;1950.0;0.1393976393976394;0.0035911513287535117;0.1310344827586207;0.9114613760806262;0.42857142857142855;0.010890478814461192;0.8928571428571429;7.248299466380316e-12;0.35714285714285715;0.05551971712876329;0.35714285714285715;0.05551971712876329;1.0;2.6148266473233464e-16;0.1384818884818885;0.2272438435457335;0.07671957671957672;-0.5726966686149897;0.25;6.262572859282186;0.001258120137543087;27.0326332857756;0.001;4.8667596720532025;0.0038737260555405284;4.711861551892206;0.00440785662774584;28.219258507143635;0.001
5;35;2260.0;0.1102971102971103;0.005052140390826454;0.11428571428571428;0.9644247411551388;0.4642857142857143;0.004249942989061184;0.6428571428571429;9.310626704251817e-06;0.42857142857142855;0.010890478814461192;0.42857142857142855;0.010890478814461192;1.0;2.6148266473233464e-16;0.0996133496133496;0.2914974911867899;0.09259259259259257;-0.981157673294643;0.25;7.913501820200296;0.001;11.932023540956033;0.001;8.010232711713844;0.001;6.3951177039713025;0.0011348659906715256;28.3144187729913;0.001
6;27;2005.0;0.1526251526251526;0.0028990203213088155;0.15185185185185185;0.844970872033153;0.42857142857142855;0.010890478814461192;0.8928571428571429;7.248299466380316e-12;0.32142857142857145;0.11103086649998889;0.35714285714285715;0.05551971712876329;1.0;2.6148266473233464e-16;0.1526251526251526;0.21245640443984554;0.07142857142857142;-0.41918942341696963;0.25;5.521277657357641;0.002266067920964363;27.561327496322978;0.001;3.6756284127498606;0.010697172931149999;4.18780957927849;0.006868033018748199;28.536585056680693;0.001
7;28;2304.0;0.15659340659340662;0.002521777294767788;0.18333333333333332;0.6423983026078232;0.39285714285714285;0.025624647770069564;0.9285714285714286;4.0268330368779533e-13;0.2857142857142857;0.20527832022526032;0.2857142857142857;0.20527832022526032;1.0;2.6148266473233464e-16;0.15659340659340662;0.20703790458908886;0.07407407407407407;-0.6860269320960519;0.25;4.334659422912254;0.0060593054154290515;28.47660192659285;0.001;2.9364770075930124;0.0206201999039915;3.2048538657865095;0.01621084451405121;28.35123360564888;0.001
8;32;2140.0;0.10785510785510787;0.004020390176651781;0.10833333333333334;0.9799309195462403;0.35714285714285715;0.05551971712876329;0.7142857142857143;3.7143457596749274e-07;0.35714285714285715;0.05551971712876329;0.2857142857142857;0.20527832022526032;1.0;2.6148266473233464e-16;0.10765160765160765;0.27266683644938156;0.08465608465608465;-0.8958954873548064;0.25;4.993191236295563;0.003488357852176015;18.042351249251727;0.001;5.090227145339847;0.0032200693842128376;2.872939658911087;0.02183718012828664;28.17592544283615;0.001
9;29;1852.0;0.12759462759462759;0.004097329755928995;0.1;0.9903835964288831;0.42857142857142855;0.010890478814461192;0.8214285714285714;9.988156664672076e-10;0.35714285714285715;0.05551971712876329;0.35714285714285715;0.05551971712876329;1.0;2.6148266473233464e-16;0.1270858770858771;0.24328273537422299;0.07671957671957673;-1.016879677248004;0.25;6.343321402601439;0.0011814350042253763;23.225215857435327;0.001;4.8667596720532025;0.0038737260555405284;4.594971405708639;0.00486196660184935;28.26813173977373;0.001
