i;Links;Weights;BCW;CCW;Stat_Weights;p-value_Weights;Stat_BC;p-value_BC;Stat_CC;p-value_CC;Stat_DC;p-value_DC;Stat_BCW;p-value_BCW;Stat_CCW;p-value_CCW;BC;CC;DC;AD_Weights;p-value_Weights;AD_BC;p-value_BC;AD_CC;p-value_CC;AD_DC;p-value_DC;AD_BCW;p-value_BCW;AD_CCW;p-value_CCW
0;108;1709.0;0.03566951566951567;0.5312481265276014;0.045950155763239874;0.9992253237693962;0.7407407407407407;1.8192713924938412e-07;0.9629629629629629;5.547167958964523e-14;0.5185185185185185;0.0011383775864635356;0.7407407407407407;1.8192713924938412e-07;1.0;1.027253325734171e-15;0.032478632478632474;0.5539167634961656;0.3076923076923077;-0.5791865044850545;0.25;20.296233842085833;0.001;27.886730569362065;0.001;10.881866463955202;0.001;20.56599204673063;0.001;31.21540298025685;0.001
1;108;1370.0;0.034757834757834755;0.5378139591238721;0.018258913118726204;1.0;0.7407407407407407;1.8192713924938412e-07;0.9629629629629629;5.547167958964523e-14;0.5185185185185185;0.0011383775864635356;0.7407407407407407;1.8192713924938412e-07;1.0;1.027253325734171e-15;0.031794871794871796;0.5591341803783342;0.3076923076923077;-1.2258008020901126;0.25;20.388509497814738;0.001;28.014406017408888;0.001;11.027558922915775;0.001;20.56599204673063;0.001;31.119867848268264;0.001
2;108;782.0;0.033846153846153845;0.5439653761905279;0.01903772931810315;1.0;0.7407407407407407;1.8192713924938412e-07;0.9629629629629629;5.547167958964523e-14;0.5185185185185185;0.0011383775864635356;0.7407407407407407;1.8192713924938412e-07;1.0;1.027253325734171e-15;0.031452991452991456;0.5619869924310429;0.30769230769230765;-1.202822874189135;0.25;20.333845566175125;0.001;28.592810862991527;0.001;10.971927669766641;0.001;20.56599204673063;0.001;31.29807124873984;0.001
3;108;1133.0;0.03487179487179487;0.5360786210342139;0.0364312911041883;0.999992715694927;0.7407407407407407;1.8192713924938412e-07;0.9629629629629629;5.547167958964523e-14;0.5185185185185185;0.0011383775864635356;0.7407407407407407;1.8192713924938412e-07;1.0;1.027253325734171e-15;0.031794871794871796;0.5588525289499432;0.3076923076923077;-0.6721989098249934;0.25;20.388509497814738;0.001;27.911189184171295;0.001;10.993112335511558;0.001;20.56599204673063;0.001;31.202414431075805;0.001
4;108;810.0;0.03293447293447293;0.5510817834738809;0.02829698857736241;0.999999997573953;0.7407407407407407;1.8192713924938412e-07;0.9629629629629629;5.547167958964523e-14;0.5185185185185185;0.0011383775864635356;0.7407407407407407;1.8192713924938412e-07;1.0;1.027253325734171e-15;0.030427350427350428;0.5694058299399085;0.3076923076923077;-0.8575257708049346;0.25;20.388509497814738;0.001;28.997032156954738;0.001;11.003720238589114;0.001;20.56599204673063;0.001;31.407986214219413;0.001
5;108;1219.0;0.03772079772079772;0.5172841507649626;0.027085496711664936;0.9999999995585814;0.7037037037037037;1.0688219430901316e-06;0.9259259259259259;1.4699995091255986e-12;0.5185185185185185;0.0011383775864635356;0.7037037037037037;1.0688219430901316e-06;1.0;1.027253325734171e-15;0.033618233618233614;0.5465717877376873;0.3076923076923077;-0.7276658930495177;0.25;18.418737915852972;0.001;26.765234058136983;0.001;10.706381508606288;0.001;18.609801740965167;0.001;30.801548309847263;0.001
6;108;740.0;0.03373219373219373;0.5454426541332686;0.018778123918310834;1.0;0.7407407407407407;1.8192713924938412e-07;0.9629629629629629;5.547167958964523e-14;0.5185185185185185;0.0011383775864635356;0.7407407407407407;1.8192713924938412e-07;1.0;1.027253325734171e-15;0.031111111111111114;0.5645468837322839;0.3076923076923077;-1.1853835414483913;0.25;20.333845566175125;0.001;28.289607456514617;0.001;11.065507666428053;0.001;20.56599204673063;0.001;30.880915265756748;0.001
7;108;907.0;0.03487179487179487;0.5361264702940604;0.019124264451367255;1.0;0.7407407407407407;1.8192713924938412e-07;0.9259259259259259;1.4699995091255986e-12;0.5185185185185185;0.0011383775864635356;0.7407407407407407;1.8192713924938412e-07;1.0;1.027253325734171e-15;0.03293447293447293;0.5504945769129295;0.3076923076923077;-1.2185996159804071;0.25;20.309062651572432;0.001;27.732558893542166;0.001;10.612265303709586;0.001;20.464033724576307;0.001;31.203393575806505;0.001
8;108;1364.0;0.034985754985754985;0.5360410910448159;0.027258566978193146;0.9999999993942633;0.7407407407407407;1.8192713924938412e-07;0.9629629629629629;5.547167958964523e-14;0.5185185185185185;0.0011383775864635356;0.7407407407407407;1.8192713924938412e-07;1.0;1.027253325734171e-15;0.03168091168091167;0.560477290123827;0.3076923076923077;-0.6977984139080028;0.25;20.296233842085833;0.001;28.299904805549165;0.001;10.980498895019153;0.001;20.56599204673063;0.001;30.909819035561522;0.001
9;108;973.0;0.03316239316239316;0.548863186109588;0.01903772931810315;1.0;0.7407407407407407;1.8192713924938412e-07;0.9629629629629629;5.547167958964523e-14;0.5185185185185185;0.0011383775864635356;0.7407407407407407;1.8192713924938412e-07;1.0;1.027253325734171e-15;0.031566951566951565;0.5613488001863113;0.30769230769230776;-1.3021328823467158;0.25;20.464033724576307;0.001;28.009313402578023;0.001;11.001598660428735;0.001;20.56599204673063;0.001;30.736666780625292;0.001
