i;Links;Weights;BCW;CCW;Stat_Weights;p-value_Weights;Stat_BC;p-value_BC;Stat_CC;p-value_CC;Stat_DC;p-value_DC;Stat_BCW;p-value_BCW;Stat_CCW;p-value_CCW;BC;CC;DC;AD_Weights;p-value_Weights;AD_BC;p-value_BC;AD_CC;p-value_CC;AD_DC;p-value_DC;AD_BCW;p-value_BCW;AD_CCW;p-value_CCW
0;66;67398.0;0.09732404692082111;0.000512084372213188;0.10216450216450217;0.8202065162644312;0.3939393939393939;0.011264373743090028;0.5151515151515151;0.00023697738528255033;0.3333333333333333;0.05046994940501517;0.24242424242424243;0.28992386608240617;1.0;2.7703024114436334e-19;0.07062561094819159;0.31685901875745465;0.125;-0.713293788647926;0.25;3.1446430900478095;0.01710599961507957;12.44996079360111;0.001;7.444883478218074;0.001;-0.08437190730482313;0.25;33.36543749552247;0.001
1;66;54086.0;0.08706011730205279;0.0007572314196987043;0.1012987012987013;0.8268383781408539;0.3939393939393939;0.011264373743090028;0.30303030303030304;0.09654611183078916;0.3333333333333333;0.05046994940501517;0.3939393939393939;0.011264373743090028;1.0;2.7703024114436334e-19;0.058040078201368514;0.3601208779966381;0.125;-0.5639642494193152;0.25;3.6732406160352897;0.010719533110965471;2.1756280734742894;0.04137169985829311;6.974696089546289;0.001;3.407044357620132;0.013546862439655973;33.531489939417106;0.001
2;66;68878.0;0.10502199413489735;0.0006043274751860244;0.09696969696969697;0.8631375022134182;0.42424242424242425;0.0047933506183064365;0.3333333333333333;0.05046994940501517;0.3333333333333333;0.05046994940501517;0.24242424242424243;0.28992386608240617;1.0;2.7703024114436334e-19;0.05755131964809384;0.36165605345032786;0.125;-0.8411238368014263;0.25;4.451722224778421;0.005486481475495233;2.3252750649672254;0.03601646739990758;6.781863780572847;0.001;0.5174718220735448;0.2029844133429931;33.64437385430765;0.001
3;66;59672.0;0.08534946236559138;0.0007135157368627764;0.07662337662337662;0.975554395717297;0.48484848484848486;0.0006969923096545416;0.2727272727272727;0.1729142542609664;0.30303030303030304;0.09654611183078916;0.15151515151515152;0.851010941578351;1.0;2.7703024114436334e-19;0.05394672531769305;0.3766544707390785;0.125;-1.1257973671430619;0.25;5.636312713672355;0.002065603109140981;2.3116215948574195;0.036473644688701734;6.051952761449815;0.001484044715940626;-0.889393716908498;0.25;34.10525904501603;0.001
4;66;68826.0;0.0928030303030303;0.0005846247043046262;0.08744588744588745;0.9264956889215709;0.42424242424242425;0.0047933506183064365;0.36363636363636365;0.024674332703421464;0.3333333333333333;0.05046994940501517;0.2727272727272727;0.1729142542609664;1.0;2.7703024114436334e-19;0.06188905180840664;0.3452901531915985;0.125;-0.7561552835715645;0.25;3.6787262815933475;0.010668236176791674;4.914293858015844;0.0037238293738323736;7.033044348069191;0.001;1.5425574871754157;0.07504137521752213;33.600431231493005;0.001
5;66;62671.0;0.08608260019550343;0.0006000141369109967;0.0761904761904762;0.9768934473149189;0.36363636363636365;0.024674332703421464;0.3939393939393939;0.011264373743090028;0.30303030303030304;0.09654611183078916;0.18181818181818182;0.6543432845812748;1.0;2.7703024114436334e-19;0.060789345063538607;0.3499476614602874;0.125;-0.9541895843773276;0.25;1.5387986464851584;0.07531042848748139;3.361037937237691;0.014109854096201007;5.151190011108414;0.0030627108932260866;-0.03384742160668944;0.25;33.48183723743949;0.001
6;66;59173.0;0.07728494623655914;0.0006377159432961755;0.06233766233766234;0.997584854990186;0.3939393939393939;0.011264373743090028;0.2727272727272727;0.1729142542609664;0.3333333333333333;0.05046994940501517;0.18181818181818182;0.6543432845812748;1.0;2.7703024114436334e-19;0.055413000977517106;0.3702660039824429;0.125;-1.0643455270408282;0.25;4.232696331883682;0.006609447420722997;2.038095573360266;0.047026663871541766;6.556905509674597;0.001;0.10605016993593616;0.25;33.5635122052204;0.001
7;66;65729.0;0.07551319648093842;0.0005656244078418017;0.12337662337662338;0.6209352643338988;0.42424242424242425;0.0047933506183064365;0.30303030303030304;0.09654611183078916;0.30303030303030304;0.09654611183078916;0.2727272727272727;0.1729142542609664;1.0;2.7703024114436334e-19;0.05577956989247312;0.3683898162915718;0.125;-0.6960192546749212;0.25;4.493157942479966;0.005297608321279626;2.5672848285667134;0.028833070026486475;6.393763089299767;0.0011360587876757988;0.6385797256314903;0.1801109138625808;33.91417611063686;0.001
8;66;57218.0;0.09194770283479961;0.0008033532503295072;0.11168831168831168;0.7327881098514739;0.3939393939393939;0.011264373743090028;0.3333333333333333;0.05046994940501517;0.3333333333333333;0.05046994940501517;0.24242424242424243;0.28992386608240617;1.0;2.7703024114436334e-19;0.05639051808406647;0.3668308266566897;0.125;-0.7739868586651485;0.25;3.7556445754609378;0.009975439880903192;1.8393797838928303;0.056658577015763004;7.3525574225158765;0.001;-0.29008081381314593;0.25;33.602442060310175;0.001
9;66;53167.0;0.07917888563049855;0.0006479694337254987;0.08874458874458875;0.9207285479976135;0.3939393939393939;0.011264373743090028;0.30303030303030304;0.09654611183078916;0.3333333333333333;0.05046994940501517;0.15151515151515152;0.851010941578351;1.0;2.7703024114436334e-19;0.05932306940371456;0.3554963629687276;0.125;-0.6253469566530385;0.25;2.9078992174487817;0.021158561578006017;2.606935719652934;0.027806768916605936;7.033044348069191;0.001;-0.6964629655381125;0.25;33.51229983494952;0.001
10;66;60652.0;0.09408602150537634;0.0006744775589766825;0.07445887445887446;0.9808499203798426;0.36363636363636365;0.024674332703421464;0.3333333333333333;0.05046994940501517;0.30303030303030304;0.09654611183078916;0.2727272727272727;0.1729142542609664;1.0;2.7703024114436334e-19;0.0592008797653959;0.35635009531959216;0.125;-1.0791813394915017;0.25;3.377600953773912;0.013904399227346475;2.1741209764522766;0.04142966899425044;5.879838320087739;0.0017005120482384184;0.7036931203436877;0.16893504761382097;33.694931835102736;0.001
11;66;59059.0;0.08956500488758554;0.0005774156990010308;0.06926406926406926;0.9904443547011039;0.3333333333333333;0.05046994940501517;0.36363636363636365;0.024674332703421464;0.30303030303030304;0.09654611183078916;0.18181818181818182;0.6543432845812748;1.0;2.7703024114436334e-19;0.06237781036168133;0.34404402345117313;0.125;-0.9164131356323864;0.25;2.6133209166458706;0.027645095591504625;4.474065048085671;0.005383774573322673;5.615004884348717;0.0021012712813801827;-0.5138459762564794;0.25;33.53390245029648;0.001
12;66;62351.0;0.08669354838709677;0.0005652462582128813;0.06277056277056277;0.99734717202913;0.36363636363636365;0.024674332703421464;0.2727272727272727;0.1729142542609664;0.3333333333333333;0.05046994940501517;0.36363636363636365;0.024674332703421464;1.0;2.7703024114436334e-19;0.060361681329423274;0.35280927976136045;0.125;-1.1027330222394112;0.25;3.3832912454720443;0.013834538912233095;2.7944703111273967;0.023444499134775674;6.647150573482081;0.001;1.8652865239010548;0.0552943146126268;33.49795381061451;0.001
