i;Links;Weights;BCW;CCW;Stat_Weights;p-value_Weights;Stat_BC;p-value_BC;Stat_CC;p-value_CC;Stat_DC;p-value_DC;Stat_BCW;p-value_BCW;Stat_CCW;p-value_CCW;BC;CC;DC;AD_Weights;p-value_Weights;AD_BC;p-value_BC;AD_CC;p-value_CC;AD_DC;p-value_DC;AD_BCW;p-value_BCW;AD_CCW;p-value_CCW
0;27;17688.0;0.26837606837606837;0.0002033656370800754;0.08382066276803118;0.9988371594855111;0.5925925925925926;9.83316187642921e-05;1.0;1.027253325734171e-15;0.4444444444444444;0.00889018684023524;0.5185185185185185;0.0011383775864635356;1.0;1.027253325734171e-15;0.26552706552706556;0.13671832954262628;0.07692307692307691;-1.1123453695696646;0.25;12.879936745798508;0.001;27.668823341671978;0.001;4.213186849695316;0.006720559725624751;13.567109462290574;0.001;27.333051107732697;0.001
1;27;18306.0;0.25105413105413105;0.00020385266731349702;0.19395711500974658;0.5118503609162958;0.4444444444444444;0.00889018684023524;1.0;1.027253325734171e-15;0.2962962962962963;0.18855666321887862;0.4444444444444444;0.00889018684023524;1.0;1.027253325734171e-15;0.25105413105413105;0.14305514660604446;0.07692307692307691;-0.790992386675281;0.25;5.341849633985668;0.0026207995147149304;27.51976920564309;0.001;2.4835099055383414;0.03113357868982548;5.992322276275159;0.0015555393517206497;27.22708418069004;0.001
2;27;19252.0;0.24455840455840458;0.0001727158531183605;0.1881091617933723;0.5518147196185277;0.4444444444444444;0.00889018684023524;1.0;1.027253325734171e-15;0.37037037037037035;0.04843826268679447;0.4074074074074074;0.02166982723648196;1.0;1.027253325734171e-15;0.24193732193732195;0.14757788978089714;0.07692307692307693;-0.42130630986178585;0.25;6.726710134417828;0.001;27.59924941677741;0.001;2.6032445145303833;0.02790068011498888;7.929192976009886;0.001;27.21536116158112;0.001
3;27;19056.0;0.22917378917378917;0.00032355001768878124;0.15107212475633527;0.7965717784994444;0.48148148148148145;0.00333382007458774;1.0;1.027253325734171e-15;0.2962962962962963;0.18855666321887862;0.4074074074074074;0.02166982723648196;1.0;1.027253325734171e-15;0.20170940170940171;0.174863126490945;0.07692307692307693;-0.6959267038540188;0.25;5.8918039603395735;0.0016844323640450656;27.518795521133242;0.001;2.4835099055383414;0.03113357868982548;6.7501506482922995;0.001;27.23486608205323;0.001
4;27;20270.0;0.22940170940170942;0.0002241556877865044;0.07115009746588694;0.9999376544909877;0.4444444444444444;0.00889018684023524;1.0;1.027253325734171e-15;0.2962962962962963;0.18855666321887862;0.4074074074074074;0.02166982723648196;1.0;1.027253325734171e-15;0.22484330484330486;0.15729747675613193;0.07692307692307693;-1.2021077737232941;0.25;5.430560522379392;0.0024386129187974294;27.54540511232764;0.001;2.4835099055383414;0.03113357868982548;6.86207422469094;0.001;27.210467789712897;0.001
5;27;18711.0;0.1754985754985755;0.0003078614639015551;0.12378167641325535;0.9342776898072874;0.48148148148148145;0.00333382007458774;0.9259259259259259;1.4699995091255986e-12;0.25925925925925924;0.3290078898658627;0.3333333333333333;0.09956245106093345;1.0;1.027253325734171e-15;0.174017094017094;0.1930807722192997;0.07692307692307693;-0.7375387470071791;0.25;3.6249220066068877;0.011182682590847705;27.137239541085844;0.001;1.563716724867587;0.07354536455128131;3.441131620913812;0.013144919900118469;27.267871974213886;0.001
6;27;17437.0;0.24877492877492882;0.0002493609908093646;0.15107212475633527;0.7965717784994444;0.4444444444444444;0.00889018684023524;1.0;1.027253325734171e-15;0.2962962962962963;0.18855666321887862;0.48148148148148145;0.00333382007458774;1.0;1.027253325734171e-15;0.2487749287749288;0.14518165046563583;0.07692307692307693;-0.6313544815959387;0.25;6.1387708683172635;0.0013861073806781298;27.535667284218103;0.001;1.8748621407541182;0.054798753799899576;5.966143067298026;0.0015880704984798425;27.207976649926326;0.001
7;27;13653.0;0.19111111111111112;0.00034969769294542716;0.24171539961013644;0.2571785237922293;0.4074074074074074;0.02166982723648196;0.9259259259259259;1.4699995091255986e-12;0.3333333333333333;0.09956245106093345;0.2962962962962963;0.18855666321887862;1.0;1.027253325734171e-15;0.18871794871794872;0.18293872265559075;0.07692307692307693;0.22166217953078596;0.25;3.647026342629827;0.010968257247417396;27.09387717154957;0.001;2.2239350843447965;0.03955769715376746;3.973940197333724;0.008254354574769635;27.253780693265252;0.001
8;27;17013.0;0.26427350427350427;0.0002199637034959999;0.08771929824561403;0.9976958771830917;0.5185185185185185;0.0011383775864635356;1.0;1.027253325734171e-15;0.3333333333333333;0.09956245106093345;0.5185185185185185;0.0011383775864635356;1.0;1.027253325734171e-15;0.2641595441595441;0.13840441513497823;0.07692307692307693;-0.9944602259458825;0.25;7.213397559291938;0.001;27.6537768689502;0.001;2.8927417726929843;0.02145004483564386;8.174346134692469;0.001;27.33354891048782;0.001
9;27;23111.0;0.21196581196581196;0.000174984484356617;0.11208576998050682;0.9695605889542392;0.5925925925925926;9.83316187642921e-05;1.0;1.027253325734171e-15;0.37037037037037035;0.04843826268679447;0.5925925925925926;9.83316187642921e-05;1.0;1.027253325734171e-15;0.20923076923076922;0.16560428476065006;0.07692307692307693;-0.9483221759912397;0.25;9.777343818032149;0.001;27.540252525426652;0.001;3.3225629207303116;0.014599470909194584;12.72552272811995;0.001;27.254772028549866;0.001
10;27;17930.0;0.24102564102564106;0.00021489681110981095;0.0682261208576998;0.9999753143083895;0.4074074074074074;0.02166982723648196;1.0;1.027253325734171e-15;0.3333333333333333;0.09956245106093345;0.4074074074074074;0.02166982723648196;1.0;1.027253325734171e-15;0.24102564102564103;0.14869942460274832;0.07692307692307693;-1.1895198431145138;0.25;5.733912932924395;0.001910211946455814;27.54447736657984;0.001;2.2239350843447965;0.03955769715376746;6.277203995907938;0.001243843245559502;27.21411752232102;0.001
11;27;23700.0;0.23977207977207976;0.0001656100731937317;0.14327485380116958;0.8460750615170274;0.4444444444444444;0.00889018684023524;1.0;1.027253325734171e-15;0.37037037037037035;0.04843826268679447;0.4444444444444444;0.00889018684023524;1.0;1.027253325734171e-15;0.23726495726495725;0.15085567355903232;0.07692307692307693;-0.6251133181182322;0.25;6.02116714134273;0.0015205107773499779;27.560785677488138;0.001;2.6032445145303833;0.02790068011498888;5.714168974856941;0.001940619519710853;27.19780921141273;0.001
12;27;24188.0;0.27225071225071223;0.00013987648622870437;0.2777777777777778;0.13873662205772497;0.5185185185185185;0.0011383775864635356;1.0;1.027253325734171e-15;0.4074074074074074;0.02166982723648196;0.5185185185185185;0.0011383775864635356;1.0;1.027253325734171e-15;0.2637037037037037;0.13769402982393994;0.07692307692307693;1.0457799141654511;0.12096537621695488;10.380557500338425;0.001;27.621365842875452;0.001;3.7651878412345092;0.009892831692638672;11.611430752306601;0.001;27.313726086523346;0.001
13;27;18320.0;0.25378917378917376;0.0002672206646750619;0.11208576998050682;0.9695605889542392;0.4444444444444444;0.00889018684023524;1.0;1.027253325734171e-15;0.2962962962962963;0.18855666321887862;0.48148148148148145;0.00333382007458774;1.0;1.027253325734171e-15;0.2492307692307692;0.144913734712808;0.07692307692307694;-1.0234831264124575;0.25;6.397783939033993;0.0011325221330650917;27.56353103306943;0.001;2.4835099055383414;0.03113357868982548;6.568838603545689;0.001;27.25146911640224;0.001
