i;Links;Weights;BCW;CCW;Stat_Weights;p-value_Weights;Stat_BC;p-value_BC;Stat_CC;p-value_CC;Stat_DC;p-value_DC;Stat_BCW;p-value_BCW;Stat_CCW;p-value_CCW;BC;CC;DC;AD_Weights;p-value_Weights;AD_BC;p-value_BC;AD_CC;p-value_CC;AD_DC;p-value_DC;AD_BCW;p-value_BCW;AD_CCW;p-value_CCW
0;28;2176.0;0.26943426943426946;0.0016622202895471834;0.16904761904761906;0.7099044116650615;0.7142857142857143;3.7143457596749274e-07;1.0;2.6148266473233464e-16;0.6428571428571429;9.310626704251817e-06;0.6428571428571429;9.310626704251817e-06;1.0;2.6148266473233464e-16;0.26912901912901915;0.13053736247727327;0.07407407407407407;0.04949355272770471;0.25;22.275937317565596;0.001;29.95028332461912;0.001;16.073363139245142;0.001;19.054785158443657;0.001;28.37330307871716;0.001
1;28;1722.0;0.21062271062271062;0.00245561069490224;0.1619047619047619;0.7617739495046241;0.5714285714285714;0.00014600755513485803;1.0;2.6148266473233464e-16;0.4642857142857143;0.004249942989061184;0.5;0.0015178367819511198;1.0;2.6148266473233464e-16;0.21062271062271062;0.16393675451956483;0.07407407407407406;-0.6765832235747724;0.25;12.341731684533952;0.001;29.872125874139886;0.001;8.286476937867384;0.001;10.065960806861174;0.001;28.261043668838695;0.001
2;28;1802.0;0.28215303215303217;0.001966064455246699;0.06428571428571428;0.9999972371618687;0.6071428571428571;3.8935348035962143e-05;1.0;2.6148266473233464e-16;0.5714285714285714;0.00014600755513485803;0.5357142857142857;0.0004941794173795195;1.0;2.6148266473233464e-16;0.28215303215303217;0.1258773213852879;0.07407407407407406;-1.1640329447143507;0.25;17.273510073501516;0.001;29.88586406275935;0.001;12.428126381608715;0.001;14.698521261949095;0.001;28.304720726865675;0.001
3;28;1775.0;0.2077737077737078;0.0025719929460801027;0.11904761904761904;0.9641636696198626;0.5;0.0015178367819511198;1.0;2.6148266473233464e-16;0.4642857142857143;0.004249942989061184;0.4642857142857143;0.004249942989061184;1.0;2.6148266473233464e-16;0.2077737077737078;0.16301102921196545;0.07407407407407407;-0.7943272057055126;0.25;10.589218523839453;0.001;29.90674973574477;0.001;8.411805790862157;0.001;9.564678215939361;0.001;28.30331796320792;0.001
4;28;2066.0;0.21947496947496953;0.002241529059464791;0.1619047619047619;0.7617739495046241;0.6071428571428571;3.8935348035962143e-05;1.0;2.6148266473233464e-16;0.5357142857142857;0.0004941794173795195;0.5357142857142857;0.0004941794173795195;1.0;2.6148266473233464e-16;0.21876271876271883;0.15580743980241787;0.07407407407407407;-0.4371291389921078;0.25;14.840306254392742;0.001;29.823601694647724;0.001;11.21771948973605;0.001;12.501465628418462;0.001;28.250684347365116;0.001
5;28;1967.0;0.19474969474969478;0.0026148294541948583;0.13095238095238096;0.9220021257430305;0.5;0.0015178367819511198;1.0;2.6148266473233464e-16;0.39285714285714285;0.025624647770069564;0.42857142857142855;0.010890478814461192;1.0;2.6148266473233464e-16;0.19474969474969475;0.1741302208758829;0.07407407407407407;-0.8229709528395461;0.25;8.98300981186523;0.001;29.968404244401118;0.001;5.905955782563749;0.0016656221848309484;7.255879270561685;0.001;28.335046704730672;0.001
6;28;1778.0;0.21743996743996746;0.002645315084866372;0.17142857142857143;0.7001664150152274;0.6428571428571429;9.310626704251817e-06;1.0;2.6148266473233464e-16;0.5714285714285714;0.00014600755513485803;0.5714285714285714;0.00014600755513485803;1.0;2.6148266473233464e-16;0.2173382173382174;0.15811498484680533;0.07407407407407407;-0.9611624741210597;0.25;16.883295194741272;0.001;29.754035897220664;0.001;12.746711145597809;0.001;14.25196417345649;0.001;28.198173877660338;0.001
7;28;2532.0;0.25152625152625147;0.002038482304024714;0.08095238095238096;0.9996842509044771;0.5714285714285714;0.00014600755513485803;1.0;2.6148266473233464e-16;0.5357142857142857;0.0004941794173795195;0.5;0.0015178367819511198;1.0;2.6148266473233464e-16;0.2513227513227513;0.13849931451856126;0.07407407407407406;-1.06074524159369;0.25;14.953941831580316;0.001;29.90060279350572;0.001;11.21771948973605;0.001;11.20248647940339;0.001;28.323210983635118;0.001
8;28;2004.0;0.18681318681318684;0.002731728205482132;0.11190476190476191;0.9802377029162563;0.5;0.0015178367819511198;0.9642857142857143;1.464302922501074e-14;0.5;0.0015178367819511198;0.4642857142857143;0.004249942989061184;1.0;2.6148266473233464e-16;0.18640618640618642;0.1805903102368018;0.07407407407407407;-0.9234383361296656;0.25;12.415221950656917;0.001;29.472117520115795;0.001;9.591896006335974;0.001;8.104027666338608;0.001;28.256674400127228;0.001
9;28;1905.0;0.20115995115995117;0.0024387668171781925;0.11428571428571428;0.9758386694307335;0.6428571428571429;9.310626704251817e-06;1.0;2.6148266473233464e-16;0.5357142857142857;0.0004941794173795195;0.5714285714285714;0.00014600755513485803;1.0;2.6148266473233464e-16;0.19993894993894995;0.1681959178863616;0.07407407407407406;-1.1986143951411559;0.25;16.268992474555095;0.001;29.754035897220664;0.001;10.97209791512076;0.001;12.920457413820312;0.001;28.198173877660338;0.001
10;28;1729.0;0.22201872201872203;0.0024931870567083745;0.10238095238095238;0.9896798774049188;0.5357142857142857;0.0004941794173795195;1.0;2.6148266473233464e-16;0.5;0.0015178367819511198;0.5;0.0015178367819511198;1.0;2.6148266473233464e-16;0.21937321937321938;0.1572461132187531;0.07407407407407407;-0.7150768296590044;0.25;10.783413986791487;0.001;29.83416210691781;0.001;9.591896006335974;0.001;10.259745891665338;0.001;28.258479309877764;0.001
11;28;2361.0;0.20309320309320314;0.00211383495615652;0.1523809523809524;0.8286827300061799;0.6428571428571429;9.310626704251817e-06;1.0;2.6148266473233464e-16;0.5357142857142857;0.0004941794173795195;0.5714285714285714;0.00014600755513485803;1.0;2.6148266473233464e-16;0.19841269841269843;0.17040715095494105;0.07407407407407406;-0.6556091596793493;0.25;16.329561120711087;0.001;29.927651315422366;0.001;11.21771948973605;0.001;12.974521972958149;0.001;28.28648381240179;0.001
12;28;2251.0;0.22385022385022385;0.0019404169820367468;0.13333333333333333;0.910785148332369;0.6785714285714286;1.980984405159961e-06;1.0;2.6148266473233464e-16;0.6071428571428571;3.8935348035962143e-05;0.6071428571428571;3.8935348035962143e-05;1.0;2.6148266473233464e-16;0.21632071632071634;0.1590431427550441;0.07407407407407407;-0.6008552937211628;0.25;19.399062258460717;0.001;29.94950439124947;0.001;14.363078403670952;0.001;16.221207971425443;0.001;28.390916949066124;0.001
13;28;1731.0;0.1923076923076923;0.002851620640802429;0.09761904761904762;0.9944985384957262;0.5357142857142857;0.0004941794173795195;1.0;2.6148266473233464e-16;0.5;0.0015178367819511198;0.5;0.0015178367819511198;1.0;2.6148266473233464e-16;0.1923076923076923;0.17536063237470328;0.07407407407407406;-1.026457066963649;0.25;12.361627366349172;0.001;29.99196699682285;0.001;9.772968498991483;0.001;10.35886972940582;0.001;28.41321713606673;0.001
14;28;1868.0;0.18874643874643876;0.0028191940040588363;0.10238095238095238;0.9896798774049188;0.5357142857142857;0.0004941794173795195;0.9642857142857143;1.464302922501074e-14;0.5;0.0015178367819511198;0.5;0.0015178367819511198;1.0;2.6148266473233464e-16;0.1861009361009361;0.18140248000473388;0.07407407407407406;-1.196460318073614;0.25;10.428582965973701;0.001;29.63698955211288;0.001;9.591896006335974;0.001;9.603228762439425;0.001;28.43618559233152;0.001
15;28;1581.0;0.1861009361009361;0.002842482380673183;0.18095238095238095;0.658133456443383;0.5;0.0015178367819511198;1.0;2.6148266473233464e-16;0.4642857142857143;0.004249942989061184;0.4642857142857143;0.004249942989061184;1.0;2.6148266473233464e-16;0.1858974358974359;0.17801254579057382;0.07407407407407406;0.22118647215301607;0.25;10.336694922114141;0.001;29.983766789119915;0.001;8.411805790862157;0.001;9.030782476568962;0.001;28.470008130085976;0.001
16;28;2048.0;0.21560846560846564;0.0029815581772463726;0.18571428571428572;0.6250987655763672;0.5357142857142857;0.0004941794173795195;1.0;2.6148266473233464e-16;0.5;0.0015178367819511198;0.5;0.0015178367819511198;1.0;2.6148266473233464e-16;0.2077737077737078;0.16534351907707623;0.07407407407407407;-0.5106730905295143;0.25;13.06854669410996;0.001;29.996557482049113;0.001;9.591896006335974;0.001;10.36274040363823;0.001;28.480858502420602;0.001
17;28;2058.0;0.26170126170126173;0.001723216092141508;0.10952380952380952;0.9838286431152331;0.6071428571428571;3.8935348035962143e-05;1.0;2.6148266473233464e-16;0.5714285714285714;0.00014600755513485803;0.5357142857142857;0.0004941794173795195;1.0;2.6148266473233464e-16;0.2605820105820106;0.13540364922682782;0.07407407407407407;-1.1390148936537245;0.25;17.052439985375432;0.001;29.73178746239648;0.001;12.746711145597809;0.001;13.980093891875422;0.001;28.17592544283615;0.001
18;28;2096.0;0.18864468864468864;0.0023757343694057425;0.12142857142857143;0.9571215630310964;0.5357142857142857;0.0004941794173795195;0.9642857142857143;1.464302922501074e-14;0.4642857142857143;0.004249942989061184;0.4642857142857143;0.004249942989061184;1.0;2.6148266473233464e-16;0.1862026862026862;0.17924688085711263;0.07407407407407406;-0.8605807094175449;0.25;11.505837002356433;0.001;29.73441891761616;0.001;8.411805790862157;0.001;9.45411074751042;0.001;28.21878623948111;0.001
19;28;2064.0;0.20166870166870168;0.0021324658466788968;0.12380952380952381;0.9494496289078508;0.6428571428571429;9.310626704251817e-06;1.0;2.6148266473233464e-16;0.5357142857142857;0.0004941794173795195;0.5357142857142857;0.0004941794173795195;1.0;2.6148266473233464e-16;0.19943019943019943;0.17044916694184406;0.07407407407407406;-1.038669611160221;0.25;15.240118065468174;0.001;29.974663480160526;0.001;11.21771948973605;0.001;12.171797460633597;0.001;28.385857285445454;0.001
20;28;2224.0;0.21469271469271473;0.0019193372953391133;0.13095238095238096;0.9220021257430305;0.4642857142857143;0.004249942989061184;1.0;2.6148266473233464e-16;0.4642857142857143;0.004249942989061184;0.4642857142857143;0.004249942989061184;1.0;2.6148266473233464e-16;0.2144892144892145;0.15876276964163313;0.07407407407407407;-0.9252567560792156;0.25;11.057714211781086;0.001;29.805310258696277;0.001;8.286476937867384;0.001;10.057735467580374;0.001;28.224514332873152;0.001
21;28;2029.0;0.21998371998371996;0.0023771900510274756;0.08571428571428572;0.9990671525275396;0.7142857142857143;3.7143457596749274e-07;1.0;2.6148266473233464e-16;0.5714285714285714;0.00014600755513485803;0.6071428571428571;3.8935348035962143e-05;1.0;2.6148266473233464e-16;0.20512820512820512;0.16213538998902313;0.07407407407407406;-1.1815727052071996;0.25;18.68481834528897;0.001;29.93592899194368;0.001;12.746711145597809;0.001;15.035100001952728;0.001;28.3117631432102;0.001
22;28;1866.0;0.17633292633292635;0.0031068605792489786;0.0880952380952381;0.9985424258037104;0.5357142857142857;0.0004941794173795195;0.9285714285714286;4.0268330368779533e-13;0.4642857142857143;0.004249942989061184;0.4642857142857143;0.004249942989061184;1.0;2.6148266473233464e-16;0.16371591371591374;0.2003720745817841;0.07407407407407407;-1.0454786559465357;0.25;11.558237560295122;0.001;29.113776617625792;0.001;8.173867030374245;0.001;8.842892397258758;0.001;28.45428157057615;0.001
23;28;2036.0;0.26577126577126575;0.0019104345994621897;0.09047619047619047;0.9979010933037821;0.5714285714285714;0.00014600755513485803;1.0;2.6148266473233464e-16;0.5;0.0015178367819511198;0.5;0.0015178367819511198;1.0;2.6148266473233464e-16;0.26577126577126575;0.13143544432742404;0.07407407407407407;-1.0957444926756308;0.25;12.596058995701245;0.001;29.883446472914443;0.001;9.772968498991483;0.001;11.711435215831692;0.001;28.257650754745722;0.001
24;28;2131.0;0.28500203500203497;0.0016170792911183803;0.1261904761904762;0.9411491970041054;0.5714285714285714;0.00014600755513485803;1.0;2.6148266473233464e-16;0.5;0.0015178367819511198;0.4642857142857143;0.004249942989061184;1.0;2.6148266473233464e-16;0.2847985347985348;0.1232075078887891;0.07407407407407406;-0.8877399359359487;0.25;13.953069339614284;0.001;29.937205508176895;0.001;9.772968498991483;0.001;10.986744264077576;0.001;28.295691274250075;0.001
25;28;2165.0;0.21286121286121287;0.00214456827843536;0.12857142857142856;0.9320890723970541;0.5357142857142857;0.0004941794173795195;1.0;2.6148266473233464e-16;0.5;0.0015178367819511198;0.4642857142857143;0.004249942989061184;1.0;2.6148266473233464e-16;0.21286121286121287;0.16105269641147998;0.07407407407407406;-0.7369238393794036;0.25;10.711762087689081;0.001;29.864913255703257;0.001;9.772968498991483;0.001;8.81424664051959;0.001;28.307878955489404;0.001
26;28;2089.0;0.16961741961741963;0.0029100960533521287;0.08333333333333333;0.9994556591773016;0.5714285714285714;0.00014600755513485803;0.9285714285714286;4.0268330368779533e-13;0.5;0.0015178367819511198;0.5;0.0015178367819511198;1.0;2.6148266473233464e-16;0.16880341880341884;0.19638952203198018;0.07407407407407407;-1.160858796510545;0.25;12.79858133467077;0.001;28.68184134380952;0.001;9.591896006335974;0.001;10.149816700663482;0.001;28.257720355992593;0.001
27;28;1968.0;0.194953194953195;0.002806387766274002;0.07380952380952381;0.9999385254207689;0.5;0.0015178367819511198;1.0;2.6148266473233464e-16;0.4642857142857143;0.004249942989061184;0.42857142857142855;0.010890478814461192;1.0;2.6148266473233464e-16;0.194953194953195;0.1738185886991743;0.07407407407407407;-1.153722947107127;0.25;11.279227864462696;0.001;29.83240559542076;0.001;8.411805790862157;0.001;8.139505406866355;0.001;28.231695754137853;0.001
28;28;2319.0;0.19881969881969883;0.002298914005964854;0.16428571428571428;0.7438076361272874;0.6428571428571429;9.310626704251817e-06;1.0;2.6148266473233464e-16;0.5357142857142857;0.0004941794173795195;0.5714285714285714;0.00014600755513485803;1.0;2.6148266473233464e-16;0.1945461945461945;0.1735057897077112;0.07407407407407406;-0.8504609913109318;0.25;16.080758743513428;0.001;29.81512969407031;0.001;11.21771948973605;0.001;13.097491593873894;0.001;28.234931092721162;0.001
29;28;1676.0;0.2135734635734636;0.0032833736980601644;0.27380952380952384;0.1799617360642355;0.5714285714285714;0.00014600755513485803;1.0;2.6148266473233464e-16;0.5;0.0015178367819511198;0.4642857142857143;0.004249942989061184;1.0;2.6148266473233464e-16;0.20909645909645908;0.16325576353306626;0.07407407407407407;1.4982999171682982;0.07827374013557478;13.144540218066002;0.001;29.84195732816973;0.001;9.772968498991483;0.001;9.917055646441863;0.001;28.2557111068261;0.001
30;28;2156.0;0.14224664224664224;0.0027616776539189304;0.11666666666666667;0.9704996881474253;0.4642857142857143;0.004249942989061184;0.8571428571428571;9.603996792953918e-11;0.42857142857142855;0.010890478814461192;0.42857142857142855;0.010890478814461192;1.0;2.6148266473233464e-16;0.1398046398046398;0.2261589963680477;0.07407407407407406;-1.032256096984265;0.25;8.662654335824541;0.001;24.59908964265777;0.001;7.056914176327787;0.001;7.340772964655785;0.001;28.317623602684606;0.001
31;28;2781.0;0.24613349613349608;0.0013451117748494155;0.1976190476190476;0.5306802053333427;0.5714285714285714;0.00014600755513485803;1.0;2.6148266473233464e-16;0.5357142857142857;0.0004941794173795195;0.5357142857142857;0.0004941794173795195;1.0;2.6148266473233464e-16;0.24613349613349608;0.14037686749584227;0.07407407407407406;-0.2374376904119934;0.25;14.813192930358415;0.001;29.927993735245323;0.001;11.21771948973605;0.001;13.197006118169922;0.001;28.36056016559837;0.001
32;28;2233.0;0.25986975986975985;0.001879821332954121;0.1595238095238095;0.7793914803845207;0.6428571428571429;9.310626704251817e-06;1.0;2.6148266473233464e-16;0.6071428571428571;3.8935348035962143e-05;0.6071428571428571;3.8935348035962143e-05;1.0;2.6148266473233464e-16;0.2597680097680098;0.13618019572177748;0.07407407407407406;-0.8144631722310538;0.25;19.23603661223012;0.001;29.778385128443478;0.001;14.363078403670952;0.001;16.93793037264302;0.001;28.21864359809679;0.001
33;28;1770.0;0.24847374847374848;0.0022338439624817455;0.08571428571428572;0.9990671525275396;0.6071428571428571;3.8935348035962143e-05;1.0;2.6148266473233464e-16;0.5357142857142857;0.0004941794173795195;0.5357142857142857;0.0004941794173795195;1.0;2.6148266473233464e-16;0.24847374847374848;0.14180143814330745;0.07407407407407406;-1.1288285545996148;0.25;14.422282083175661;0.001;29.73178746239648;0.001;10.97209791512076;0.001;12.47936530380344;0.001;28.17592544283615;0.001
34;28;2441.0;0.192002442002442;0.0022795212223880247;0.11428571428571428;0.9758386694307335;0.5714285714285714;0.00014600755513485803;0.9285714285714286;4.0268330368779533e-13;0.5357142857142857;0.0004941794173795195;0.5357142857142857;0.0004941794173795195;1.0;2.6148266473233464e-16;0.18355718355718356;0.1826750736917367;0.07407407407407406;-0.5713417175306785;0.25;14.481515231955232;0.001;29.4778115066493;0.001;11.21771948973605;0.001;11.888922924067936;0.001;28.343363376068954;0.001
35;28;1741.0;0.19831094831094834;0.003009573850671653;0.16666666666666666;0.7259804122147435;0.4642857142857143;0.004249942989061184;1.0;2.6148266473233464e-16;0.4642857142857143;0.004249942989061184;0.4642857142857143;0.004249942989061184;1.0;2.6148266473233464e-16;0.1957671957671958;0.17271003938936724;0.07407407407407406;-0.2204341907393097;0.25;10.699337589313629;0.001;29.80469777469661;0.001;8.286476937867384;0.001;8.47753024855833;0.001;28.29510022584812;0.001
36;28;2241.0;0.14702889702889704;0.0028091293173628288;0.2;0.5131310725506151;0.35714285714285715;0.05551971712876329;0.8928571428571429;7.248299466380316e-12;0.32142857142857145;0.11103086649998889;0.2857142857142857;0.20527832022526032;1.0;2.6148266473233464e-16;0.14428164428164428;0.2194399626004652;0.07407407407407407;-0.30954347118428727;0.25;4.859350506735748;0.00389765686437857;27.52627295717544;0.001;3.618610952007686;0.011244706039381918;2.9896551043844966;0.019656155743962105;28.42173341535292;0.001
37;28;2008.0;0.18253968253968256;0.002509304885613721;0.1595238095238095;0.7793914803845207;0.5357142857142857;0.0004941794173795195;1.0;2.6148266473233464e-16;0.4642857142857143;0.004249942989061184;0.4642857142857143;0.004249942989061184;1.0;2.6148266473233464e-16;0.18172568172568176;0.18130028582476881;0.07407407407407408;-0.7418428868095883;0.25;10.856751184346821;0.001;29.891734954610314;0.001;8.111552814397417;0.001;8.993823949324042;0.001;28.330793068255705;0.001
